dataset_id,contributor,country,locale,site_code,site_id,plot_id,plot_code,coord_type,latitude,longitude,year,month,day,citation_short,citation,bioclim_zone,plant_biomass_density_gm2
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B1,15B1,1,USA.YukonKuskokwimDelta.15B1.1,site,61.27049,-163.23611,2018,6,30,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,134.99
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B1,15B1,3,USA.YukonKuskokwimDelta.15B1.3,site,61.27049,-163.23611,2018,6,30,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,155.27
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B1,15B1,5,USA.YukonKuskokwimDelta.15B1.5,site,61.27049,-163.23611,2018,6,30,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,112.3
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B2,15B2,13,USA.YukonKuskokwimDelta.15B2.13,site,61.265281,-163.248769,2018,7,1,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,325.72
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B2,15B2,15,USA.YukonKuskokwimDelta.15B2.15,site,61.265281,-163.248769,2018,7,1,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,38.26
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B2,15B2,17,USA.YukonKuskokwimDelta.15B2.17,site,61.265281,-163.248769,2018,7,1,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,341.74
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B3,15B3,37,USA.YukonKuskokwimDelta.15B3.37,site,61.23125,-163.21033,2018,7,6,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,103.38
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B3,15B3,39,USA.YukonKuskokwimDelta.15B3.39,site,61.23125,-163.21033,2018,7,6,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,318.05
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B3,15B3,41,USA.YukonKuskokwimDelta.15B3.41,site,61.23125,-163.21033,2018,7,6,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,487.39
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B4,15B4,43,USA.YukonKuskokwimDelta.15B4.43,site,61.25932,-163.24341,2018,7,8,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,99.85
