"site_code","plot_code","year","month","day"
"USA.YukonKuskokwimDelta.15B1","USA.YukonKuskokwimDelta.15B1.1",2018,6,30
"USA.YukonKuskokwimDelta.15B1","USA.YukonKuskokwimDelta.15B1.3",2018,6,30
"USA.YukonKuskokwimDelta.15B1","USA.YukonKuskokwimDelta.15B1.5",2018,6,30
"USA.YukonKuskokwimDelta.15B2","USA.YukonKuskokwimDelta.15B2.13",2018,7,1
"USA.YukonKuskokwimDelta.15B2","USA.YukonKuskokwimDelta.15B2.15",2018,7,1
"USA.YukonKuskokwimDelta.15B2","USA.YukonKuskokwimDelta.15B2.17",2018,7,1
"USA.YukonKuskokwimDelta.15B3","USA.YukonKuskokwimDelta.15B3.37",2018,7,6
"USA.YukonKuskokwimDelta.15B3","USA.YukonKuskokwimDelta.15B3.39",2018,7,6
"USA.YukonKuskokwimDelta.15B3","USA.YukonKuskokwimDelta.15B3.41",2018,7,6
"USA.YukonKuskokwimDelta.15B4","USA.YukonKuskokwimDelta.15B4.43",2018,7,8
"USA.YukonKuskokwimDelta.15B4","USA.YukonKuskokwimDelta.15B4.45",2018,7,8
"USA.YukonKuskokwimDelta.15B4","USA.YukonKuskokwimDelta.15B4.47",2018,7,8
"USA.YukonKuskokwimDelta.15B4","USA.YukonKuskokwimDelta.15B4.49",2018,7,8
"USA.YukonKuskokwimDelta.15B5","USA.YukonKuskokwimDelta.15B5.14",2019,7,1
"USA.YukonKuskokwimDelta.15B5","USA.YukonKuskokwimDelta.15B5.16",2019,7,1
"USA.YukonKuskokwimDelta.15B5","USA.YukonKuskokwimDelta.15B5.18",2019,7,1
"USA.YukonKuskokwimDelta.15B6","USA.YukonKuskokwimDelta.15B6.32",2019,7,4
"USA.YukonKuskokwimDelta.15B6","USA.YukonKuskokwimDelta.15B6.34",2019,7,4
"USA.YukonKuskokwimDelta.15B6","USA.YukonKuskokwimDelta.15B6.36",2019,7,4
"USA.YukonKuskokwimDelta.15B7","USA.YukonKuskokwimDelta.15B7.50",2019,7,10
"USA.YukonKuskokwimDelta.15B7","USA.YukonKuskokwimDelta.15B7.52",2019,7,10
"USA.YukonKuskokwimDelta.15B7","USA.YukonKuskokwimDelta.15B7.54",2019,7,10
"USA.YukonKuskokwimDelta.72B1","USA.YukonKuskokwimDelta.72B1.25",2018,7,4
"USA.YukonKuskokwimDelta.72B1","USA.YukonKuskokwimDelta.72B1.27",2018,7,4
"USA.YukonKuskokwimDelta.72B1","USA.YukonKuskokwimDelta.72B1.29",2018,7,4
"USA.YukonKuskokwimDelta.72B2","USA.YukonKuskokwimDelta.72B2.2",2019,7,9
"USA.YukonKuskokwimDelta.72B2","USA.YukonKuskokwimDelta.72B2.4",2019,7,9
"USA.YukonKuskokwimDelta.72B2","USA.YukonKuskokwimDelta.72B2.6",2019,7,9
"USA.YukonKuskokwimDelta.72B3","USA.YukonKuskokwimDelta.72B3.20",2019,7,4
"USA.YukonKuskokwimDelta.72B3","USA.YukonKuskokwimDelta.72B3.22",2019,7,4
"USA.YukonKuskokwimDelta.72B3","USA.YukonKuskokwimDelta.72B3.24",2019,7,4
"USA.YukonKuskokwimDelta.72B4","USA.YukonKuskokwimDelta.72B4.38",2019,7,10
"USA.YukonKuskokwimDelta.72B4","USA.YukonKuskokwimDelta.72B4.40",2019,7,10
"USA.YukonKuskokwimDelta.72B4","USA.YukonKuskokwimDelta.72B4.42",2019,7,10
"USA.YukonKuskokwimDelta.UB1","USA.YukonKuskokwimDelta.UB1.11",2018,7,3
"USA.YukonKuskokwimDelta.UB1","USA.YukonKuskokwimDelta.UB1.7",2018,7,3
"USA.YukonKuskokwimDelta.UB1","USA.YukonKuskokwimDelta.UB1.9",2018,7,3
"USA.YukonKuskokwimDelta.UB2","USA.YukonKuskokwimDelta.UB2.19",2018,7,2
"USA.YukonKuskokwimDelta.UB2","USA.YukonKuskokwimDelta.UB2.21",2018,7,2
"USA.YukonKuskokwimDelta.UB2","USA.YukonKuskokwimDelta.UB2.23",2018,7,2
"USA.YukonKuskokwimDelta.UB3","USA.YukonKuskokwimDelta.UB3.31",2018,7,4
"USA.YukonKuskokwimDelta.UB3","USA.YukonKuskokwimDelta.UB3.33",2018,7,4
"USA.YukonKuskokwimDelta.UB3","USA.YukonKuskokwimDelta.UB3.35",2018,7,4
"USA.YukonKuskokwimDelta.UB4","USA.YukonKuskokwimDelta.UB4.51",2018,7,8
"USA.YukonKuskokwimDelta.UB4","USA.YukonKuskokwimDelta.UB4.53",2018,7,8
"USA.YukonKuskokwimDelta.UB5","USA.YukonKuskokwimDelta.UB5.10",2019,7,9
"USA.YukonKuskokwimDelta.UB5","USA.YukonKuskokwimDelta.UB5.12",2019,7,9
"USA.YukonKuskokwimDelta.UB5","USA.YukonKuskokwimDelta.UB5.8",2019,7,9
"USA.YukonKuskokwimDelta.UB6","USA.YukonKuskokwimDelta.UB6.26",2019,7,4
"USA.YukonKuskokwimDelta.UB6","USA.YukonKuskokwimDelta.UB6.28",2019,7,4
"USA.YukonKuskokwimDelta.UB6","USA.YukonKuskokwimDelta.UB6.30",2019,7,4
"USA.YukonKuskokwimDelta.UB7","USA.YukonKuskokwimDelta.UB7.44",2019,7,10
