dataset_id,citation_short,site_code,plot_code,coord_type,contributor,country,locale,site_id,plot_id,year,month,day,citation,biomass_density_gm2,plot_area_m2_mode,plot_area_m2_mean,rep_NBR_mean,rep_NBR_stdDev,rep_NDMI_mean,rep_NDMI_stdDev,rep_NDVI_mean,rep_NDVI_stdDev,rep_nbr_cv,rep_ndmi_cv,rep_ndvi_cv,rep_snow_fraction,rep_snow_pixel_count,rep_water_fraction,rep_water_pixel_count,rep_wetland_fraction,rep_wetland_pixel_count,zone_3,ecoregion,longitude,latitude
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.15B1,USA.YukonKuskokwimDelta.15B1.1,site,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,15B1,1,2018,6,30,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",134.99,0.09,0.09,4186.476283,658.1208086,1169.353494,664.2162162,6878.399616,671.4903164,15.72016092,56.80200383,9.762304517,0,0,0,0,0.321637427,55,Low Arctic,Beringia lowland tundra,-163.23611,61.2704899985922
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.15B1,USA.YukonKuskokwimDelta.15B1.3,site,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,15B1,3,2018,6,30,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",155.27,0.09,0.09,4186.476283,658.1208086,1169.353494,664.2162162,6878.399616,671.4903164,15.72016092,56.80200383,9.762304517,0,0,0,0,0.321637427,55,Low Arctic,Beringia lowland tundra,-163.23611,61.2704899985922
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.15B1,USA.YukonKuskokwimDelta.15B1.5,site,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,15B1,5,2018,6,30,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",112.3,0.09,0.09,4186.476283,658.1208086,1169.353494,664.2162162,6878.399616,671.4903164,15.72016092,56.80200383,9.762304517,0,0,0,0,0.321637427,55,Low Arctic,Beringia lowland tundra,-163.23611,61.2704899985922
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.15B2,USA.YukonKuskokwimDelta.15B2.13,site,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,15B2,13,2018,7,1,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",325.72,0.09,0.09,5262.276206,653.1969057,2434.528642,739.4824795,8192.129719,551.986211,12.41282061,30.37477016,6.738006232,0,0,0,0,0.315789474,54,Low Arctic,Beringia lowland tundra,-163.248769,61.2652809985918
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.15B2,USA.YukonKuskokwimDelta.15B2.15,site,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,15B2,15,2018,7,1,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",38.26,0.09,0.09,5262.276206,653.1969057,2434.528642,739.4824795,8192.129719,551.986211,12.41282061,30.37477016,6.738006232,0,0,0,0,0.315789474,54,Low Arctic,Beringia lowland tundra,-163.248769,61.2652809985918
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.15B2,USA.YukonKuskokwimDelta.15B2.17,site,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,15B2,17,2018,7,1,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",341.74,0.09,0.09,5262.276206,653.1969057,2434.528642,739.4824795,8192.129719,551.986211,12.41282061,30.37477016,6.738006232,0,0,0,0,0.315789474,54,Low Arctic,Beringia lowland tundra,-163.248769,61.2652809985918
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.15B3,USA.YukonKuskokwimDelta.15B3.37,site,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,15B3,37,2018,7,6,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",103.38,0.09,0.09,2799.322013,246.7113029,-121.2403021,226.8519988,6406.060697,254.9990705,8.813251985,-187.1093976,3.980590922,0,0,0,0,0.941520468,161,Low Arctic,Beringia lowland tundra,-163.21033,61.2312499985893
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.15B3,USA.YukonKuskokwimDelta.15B3.39,site,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,15B3,39,2018,7,6,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",318.05,0.09,0.09,2799.322013,246.7113029,-121.2403021,226.8519988,6406.060697,254.9990705,8.813251985,-187.1093976,3.980590922,0,0,0,0,0.941520468,161,Low Arctic,Beringia lowland tundra,-163.21033,61.2312499985893
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.15B3,USA.YukonKuskokwimDelta.15B3.41,site,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,15B3,41,2018,7,6,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",487.39,0.09,0.09,2799.322013,246.7113029,-121.2403021,226.8519988,6406.060697,254.9990705,8.813251985,-187.1093976,3.980590922,0,0,0,0,0.941520468,161,Low Arctic,Beringia lowland tundra,-163.21033,61.2312499985893
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.15B4,USA.YukonKuskokwimDelta.15B4.43,site,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,15B4,43,2018,7,8,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",99.85,0.09,0.09,3954.033349,889.9968677,913.0438407,935.4697128,6534.9937,451.5275685,22.50858273,102.456166,6.909380319,0,0,0,0,0.286549708,49,Low Arctic,Beringia lowland tundra,-163.24341,61.2593199985913
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.15B4,USA.YukonKuskokwimDelta.15B4.45,site,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,15B4,45,2018,7,8,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",278.97,0.09,0.09,3954.033349,889.9968677,913.0438407,935.4697128,6534.9937,451.5275685,22.50858273,102.456166,6.909380319,0,0,0,0,0.286549708,49,Low Arctic,Beringia lowland tundra,-163.24341,61.2593199985913
