"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualMedian","spectral_NDVI_changeESPS","spectral_NDWI_annualMean","site_code","presence_absence"
699.844679407357,947.503276413713,445.494982731738,1211.56778855154,633.063192170663,1600.11328661444,-1568.75952174957,-1240.73217983949,-959.174645790861,-1558.64304174205,-549.610956308468,0,699.844679407357,1.99037341436945,-1175.38406908609,"nonveg_876","absence"
3520.67542517767,4080.77265209146,4798.78079276823,1995.19151981586,6958.68324947296,4767.08022272489,-6724.38427442721,-6052.65187423561,-7060.30426931893,-7184.10397436022,-5762.99307561687,1,3562.14655985421,45.7443042578178,-6467.89308443149,"Finland.Kilpisjarvi.15","presence"
676.050234339806,323.888258632687,324.479460259783,313.224945962598,1104.08489425165,868.611371047283,-1774.32960164005,-1198.89074848821,-1972.01513869359,-2035.87480276076,-1117.58357270561,0,323.888258632687,9.0946177555504,-1619.73877285764,"nonveg_684","absence"
224.916543172139,352.7612002628,83.2849443498843,528.993667231477,856.852795040538,1074.98137709285,-893.282073456594,-1076.51724663049,-929.572003008904,-1270.82312324978,-568.030314341351,0,339.555241107665,-8.70592723141063,-947.644952137424,"nonveg_596","absence"
806.644409364669,744.913339321744,406.539349271955,626.639916064176,1068.20801792905,955.09060243881,-2070.67183534425,-1603.59416604122,-2069.17846386064,-2895.34660515035,-1392.64850396129,0,660.403683221607,-11.7075533849476,-2006.28791487155,"nonveg_849","absence"
805.455920586312,1070.87366475921,664.18202767744,203.975473733912,1176.59693301667,383.347328311838,-966.059081508944,-1422.5385131314,-1090.90973097034,-1577.97923416095,-931.862217209801,0,687.961969805334,-0.427834213841486,-1197.86975539629,"nonveg_645","absence"
3591.74558348748,4350.29140160208,4671.6884210761,2519.00852346347,5544.9489537426,3709.70594024598,-5759.94467693048,-6119.76665171689,-6290.23604404279,-6539.36584344728,-4732.24137585604,0,3725.33600772967,17.2242884581234,-5829.93815851823,"USA.YukonKuskokwimDelta.2","presence"
121.167733908187,-312.746424255269,241.960718348134,-24.9774790204481,1277.74285064674,-127.539065767126,193.010065960738,-1370.81362321949,-2454.52706982283,-1073.98116375285,-295.514075642198,0,121.167733908187,-32.5266927869994,-1000.36517329533,"nonveg_761","absence"
950.070064896147,909.266344263718,816.050531023054,444.505622101575,1224.03437424858,566.880182955861,-1509.04988287607,-1109.67785179639,-1729.50726096174,-2184.75963664935,-1077.93026222334,0,816.050531023054,-3.8678516435929,-1522.18497890138,"nonveg_861","absence"
560.704819681578,722.644458851925,898.659428095556,911.99411212427,2210.68911329952,1223.39637381957,-2559.40180058293,-3451.91298207726,-4025.16962361753,-4083.08484775913,187.443927672627,0,898.659428095556,19.7192287082188,-2786.42506527284,"nonveg_671","absence"
906.012332107702,1292.26694546483,335.304948295023,328.650502229629,840.995959255789,584.87955434213,-1567.29986800318,-1038.47548137198,-429.456656468068,-1771.10338855301,-976.287561994722,0,396.66354619923,8.58003017688333,-1156.52459127819,"nonveg_984","absence"
719.754291314597,47.9305794003575,602.880136200714,327.161636875437,732.672028675459,499.591729380833,-1570.976553872,-1371.35130552386,-2591.59223171822,-1566.98662833413,-1366.64632350982,0,455.696356226178,9.60659198818859,-1693.5106085916,"nonveg_809","absence"
-440.070453882141,367.147472239101,537.193088269821,276.117968889497,314.643940384141,159.686611283661,-497.77394106036,-286.161568781558,-264.669429699648,-480.375604391348,880.437743174668,0,276.117968889497,54.8999882124567,-129.708560151649,"nonveg_1889","absence"
2823.72263263678,3694.07223325851,4083.52241971263,2215.63909134692,5396.3956445181,3553.00858462162,-5758.63395854982,-6046.13441232478,-6229.84907872421,-6374.93787014776,-4542.575396097,0,2980.21747169576,54.1227441504325,-5455.89029690926,"USA.SewardPeninsula.QuartzCreek3","presence"
1494.99968830553,1403.63218285935,1351.42909701878,842.495365530753,1963.99876012474,1410.18464287669,-3134.87670982759,-2758.98509056689,-3388.18014410107,-3539.98693156554,-1706.83692078843,0,1114.64212479787,22.9958521390303,-2922.91932722179,"Canada.PrincePatrickIsland.MouldBay-C04","presence"
-73.4520144123883,472.208801308535,-70.3510899731752,511.64303947089,1582.10944273347,782.057733178465,-16.8681166160527,-2120.57253344731,-1336.45720808635,-2453.1080459832,-267.524106025735,0,472.208801308535,-69.9039378360573,-1238.90600203173,"nonveg_560","absence"
0.0501781201204494,-657.707445072991,5.3462114631472,-476.764614737249,-2152.38065894298,-1864.37363750569,3083.25238122464,4403.4894415761,3976.33250841004,4168.67114302049,3272.39426102926,0,-466.86227614169,8.88463605131163,3780.82794705211,"nonveg_1367","absence"
2538.55845977134,3104.67609364767,2851.28379880784,1554.71803289937,4554.95533128029,3700.55626552996,-6014.47581816356,-5832.20263430346,-5884.65902083824,-6421.49193722938,-4715.26993217627,0,2111.08872505178,29.691438277099,-5978.31145151076,"Finland.Javrresduottar.A-Betula","presence"
2857.36306890838,3050.94284743294,3435.96922948408,1537.98122150954,4848.55326852319,3016.36501759804,-6053.56804493489,-6034.22129054146,-6603.88032917357,-6445.97596231045,-4282.87637030172,1,2993.10438813552,51.9511660273512,-5919.43159474506,"Finland.Kilpisjarvi.20","presence"
157.211017087554,182.246528012385,386.740194129051,401.378143389333,243.617655209352,635.286848851968,-1489.64481598842,-1417.95788777508,-1648.400081341,-1322.10972717969,-139.304802748031,0,182.246528012385,19.5773817281404,-1203.48346300644,"nonveg_806","absence"
1312.25544834088,2139.27744613572,2297.94350520294,1304.01639254816,4250.0374117406,2973.81708840018,-4135.56255528696,-5222.65948441455,-4824.38837215681,-4907.83356633499,-3731.97414686742,1,1987.68793451261,29.2244982719517,-4406.82438145693,"Canada.LeRoyLake.TD4","presence"
246.312486122603,451.48468162273,343.624442900299,354.792037847249,885.00768270534,701.479503928751,-1695.38622158818,-1957.10220104641,-1818.97958671296,-2280.3911294411,-188.076703861607,0,343.624442900299,1.98464503249393,-1587.98716853005,"nonveg_792","absence"
1621.87171081927,331.547473185464,1446.70515064566,1108.5835595425,1576.3574099945,1528.50038565313,-1834.80976698765,-1126.92096158425,-2984.17391949567,-1517.87084030423,-1534.07225257743,0,1113.33913027502,14.642366435779,-1799.56954818985,"nonveg_508","absence"
1618.5184114201,2314.85493781134,2505.61359790184,663.958142456933,3077.37657474561,1367.62963810371,-4217.13910402565,-4199.91248409175,-4477.8189863083,-4781.38220653721,-2218.76953105243,0,2007.30015359936,54.645112955267,-4216.55127233541,"USA.NorthSlope.WestDock-C14","presence"
-476.459758110926,-412.702634678352,-120.733047411839,46.0884194784532,288.743768790208,-786.713169099761,1075.55149801407,627.125394220061,425.2168755495,548.165721030327,1233.83985221684,0,-120.733047411839,-3.87247511661828,781.97986820616,"nonveg_1509","absence"
339.906066612782,1447.00566817114,751.062439032571,518.080238748219,921.656903554784,816.938769230257,-2024.23828917114,-2405.69448778735,-834.570573970036,-1915.90596759834,-1626.64156444514,0,590.463231960354,10.3631468870382,-1761.4101765944,"nonveg_940","absence"
1805.88575262368,2697.00358016192,3096.2873807649,1105.07502946252,3931.56649160837,1808.64722871345,-4433.68023028719,-5356.46991631,-5866.93515293839,-5844.74981130195,-2525.51625188302,0,2393.23668094387,16.9778602837208,-4779.36676326754,"Canada.DeceptionBay.TH6","presence"
1948.10852254667,2582.92423818404,2654.18528100794,1549.92781748084,4215.17845540852,3244.34267509439,-4671.827024274,-4920.73127387099,-4989.53935465218,-5103.76094557812,-3882.34879930314,0,1857.25287986785,30.0758550668346,-4432.12187004963,"Canada.PayneLake.TD4","presence"
2622.74112018722,2826.32791375989,3559.47313150184,2115.87073139536,5658.91609353395,4476.13063679011,-5532.09160160914,-5665.59777263227,-6453.02338346376,-5989.8577477534,-4011.24344935976,1,2860.41858159336,20.9450729229651,-5531.73218298532,"Canada.LeRoyLake.TDA3","presence"
1948.10852254667,2582.92423818404,2654.18528100794,1549.92781748084,4215.17845540852,3244.34267509439,-4671.827024274,-4920.73127387099,-4989.53935465218,-5103.76094557812,-3882.34879930314,0,1857.25287986785,30.0758550668346,-4432.12187004963,"Canada.PayneLake.TD4","presence"
658.334044108812,558.560651998725,-39.4038059670184,103.516232917501,570.228800745737,221.53493881165,-1374.60214515485,-920.007162726634,-1207.88187413445,-2121.34081427548,-766.108544603917,0,248.204003541397,-21.4021844339098,-1277.98810817907,"nonveg_578","absence"
1188.2999913868,342.998245053559,587.303188976983,374.282615874471,804.474648796244,1066.06599713324,-1851.13144190417,-761.805545714602,-1791.38846019493,-1777.47526780296,-1385.87799716863,0,374.282615874471,8.22459059308045,-1513.53574255706,"nonveg_714","absence"
3473.96497969593,4055.58354750006,4463.08183243279,2184.21324253286,6435.21039622437,4685.53890510692,-5715.9494124967,-5923.41706938311,-6697.73144045143,-6588.85216847031,-4532.4976206058,0,2716.31312025668,37.9520246233704,-5025.76389855085,"Sweden.Abisko.KJ-SalixShrub","presence"
418.964130751444,605.421439095376,885.839737361107,43.5881814476748,766.967915334094,110.424644767937,-1551.04207987915,-1816.43139689487,-1628.75412676779,-1278.24874035157,-1683.42366259779,0,527.235453076492,19.7484766185147,-1591.58000129824,"nonveg_916","absence"
365.586101849916,110.917588359274,493.325391571682,782.203508258526,633.751014896251,1316.39975926771,-2172.64488817933,-1800.97706277814,-2492.4936566012,-1997.67918643389,-1107.16821018126,0,365.586101849916,10.8145487820234,-1914.19260083476,"nonveg_814","absence"
2241.58676148298,2489.2564983951,2422.79593447232,1617.30689863556,4875.56777759171,3070.58496029563,-5098.66835166772,-5555.4766779847,-5555.1508841159,-5927.5406792684,-3350.37755228321,0,2671.49938508974,-24.2056913204708,-4645.7384483915,"Finland.Kilpisjarvi.18","presence"
-252.418610549967,167.549280831853,324.468954010738,446.590568433868,-821.823479487855,-574.670268385716,3478.78279543181,6632.25993417063,5459.00069369806,4468.88357616429,4368.1329791874,0,167.549280831853,45.864397930166,4881.41199573044,"nonveg_1637","absence"
-11.8163968019705,53.706236737208,425.071389894147,198.891890566158,926.771545954704,93.7797497740657,-28.6887894421266,-448.133251497314,-816.449598091898,-763.042924420888,393.553583044631,0,198.891890566158,1.02066587647421,-332.552196081519,"nonveg_921","absence"
748.017878417215,1970.79517197241,1649.65283311893,-929.218443212182,2618.17435612561,-2901.4833029445,-744.202329739798,-4263.22938610914,-4180.41914142175,-4811.02524556689,3416.6300540384,0,1125.64130791916,97.8197913813957,-2116.44920975984,"nonveg_1813","absence"
3468.36975425326,3473.53818404877,3710.83430054882,2579.24124301451,7121.37805844826,5952.3894473965,-6441.16863594086,-6294.54694596305,-7133.92050657994,-7125.72747067325,-5492.63709656702,1,3434.18907698016,9.28285786666963,-6557.51825165045,"Finland.Kevo.6","presence"
886.709430666759,411.013091880938,670.426947581487,177.605563906161,577.215914231898,459.837225804996,-1754.80651974418,-1361.20159177887,-2214.28778442099,-1847.27263578135,-1293.49120872647,0,411.013091880938,24.6042798867047,-1694.21194809037,"nonveg_935","absence"
1044.32711932915,603.233023433955,441.73296304868,958.757613315481,1512.03872101868,1447.74533420436,-1294.23276641872,-1120.01710880889,-2075.71388402213,-2426.0357475941,-1243.1337222415,0,958.757613315481,-36.8940647496202,-1631.82664581707,"nonveg_801","absence"
741.749458516223,1000.40386384227,1073.41887466984,683.894928039545,2024.36937357304,945.314561930021,-231.332494442789,-1358.47987073469,-1101.99214187311,-1023.63529358049,-902.624262330016,0,1000.40386384227,-20.04010868379,-923.612812592219,"nonveg_568","absence"
-465.007080017054,665.210005769108,287.49731200791,-141.686729714788,-609.946667181848,-1106.11466300943,4516.499942642,8574.05678887585,9263.14741980706,5669.55527782017,4674.17587327124,0,190.67083973823,21.0453588051118,6539.48706048326,"nonveg_1344","absence"
1387.34900658749,1492.95265486714,1635.06027808474,1240.9706996405,3402.2132630056,2589.98961150737,-3218.51739919931,-3484.05997205531,-4088.23827707898,-3998.12317512156,-2815.14613983983,0,1381.83242278333,36.2892981923812,-3777.7076205537,"Canada.BanksIsland.GreenCabin-C00","presence"
95.3787132401775,-2.21180218191338,-385.289795636214,784.688182600798,1007.18759379436,1107.39723060209,-89.6235665874808,-674.391518129743,-796.237551201198,-1263.5320621172,3.88920103110286,0,95.3787132401775,-100.499219286503,-563.979099400903,"nonveg_1268","absence"
849.675301745838,457.138139215989,743.495954350323,-370.643913338574,639.416723603619,-439.96576079916,-849.999651256548,-1152.53307160196,-1470.16426935228,-1053.43596987263,-271.362526932875,0,457.138139215989,26.297935263572,-959.499097803258,"nonveg_897","absence"
658.334044108812,558.560651998725,-39.4038059670184,103.516232917501,570.228800745737,221.53493881165,-1374.60214515485,-920.007162726634,-1207.88187413445,-2121.34081427548,-766.108544603917,0,248.204003541397,-21.4021844339098,-1277.98810817907,"nonveg_578","absence"
-252.418610549967,167.549280831853,324.468954010738,446.590568433868,-821.823479487855,-574.670268385716,3478.78279543181,6632.25993417063,5459.00069369806,4468.88357616429,4368.1329791874,0,167.549280831853,45.864397930166,4881.41199573044,"nonveg_1637","absence"
3103.78221638388,3337.61781818233,3834.10442784396,1555.68601833859,4257.04337530729,2625.70805154179,-5244.28626859365,-4754.94970516985,-6319.03562220715,-6296.39106886997,-3568.17690811415,0,2867.65718667188,44.6816821270203,-5642.29470017615,"Canada.DeceptionBay.TH8","presence"
572.560570240738,672.743289798374,1187.04644947338,423.810217782232,1389.22436011294,872.478071289962,-1922.61926317834,-2311.09855453917,-2220.23358088417,-1610.03451302223,-1956.74244530283,0,672.743289798374,21.3489401167663,-2004.14567138535,"nonveg_899","absence"
-255.047157435802,-36.6789566242941,465.957522250846,272.98722002159,933.202846784357,564.144955329447,-1101.12501264059,-479.926344336063,-1209.00320765875,-995.792729148951,-1103.69432119353,0,272.98722002159,8.82562171356844,-977.908322995576,"nonveg_931","absence"
769.140251859509,-10.1666041414945,-138.71102047358,882.969834228218,-802.578258871941,1350.06623680558,-2332.26907894221,-125.5609208293,-1362.08015949673,-1978.60476543825,471.976811317874,0,-10.1666041414945,42.8300204909136,-1065.30762267772,"nonveg_616","absence"
-4.68584482418905,119.417748971641,-111.439588043521,-35.0673887076222,-503.598049613219,-93.136825183138,-689.129754375178,-313.390793476068,-6.25219786150538,-582.332654191377,186.719615820069,0,-35.0673887076222,10.387552793196,-280.877156816812,"nonveg_822","absence"
2273.05266470478,3739.29772005312,4177.66139108277,1830.67004566924,4961.61692639674,3083.7891391345,-5433.73696666539,-5535.52737241002,-5708.53693459672,-6248.6884792761,-4203.00225630872,0,2690.4978942685,84.0150178695787,-5244.85291999578,"Russia.Kolyma.OW1","presence"
