"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","texture_NDVI_peakSummer","topo_slope","trees_presence","spectral_EVI2b_annualRange","spectral_NBR_changeESPS","spectral_NDVI_annualMedian","site_code","presence_absence"
2596.83823613108,1802.31453238178,1871.44328672215,850.926107644817,-3586.73313301624,-3005.6355087297,-3275.00033303843,-3539.03029732716,-2783.87254470663,253.302581499231,18.7420558929443,0,1745.91212848626,13.1874361857067,3209.95187932945,"nonveg_1177","absence"
232.526546946875,28.1511183399107,-20.0603083971651,-393.589499470547,-1265.43320020782,-1405.33355575736,-1679.04961502637,-1769.96335030723,-1633.6614634476,-11.6807154950052,22.3764839172363,0,626.116046417422,-17.4216292615592,366.921008980512,"nonveg_907","absence"
2498.3111363178,3061.43839022437,3028.06862274967,1380.68985529862,-5624.68020847541,-5550.90792405336,-5897.91349691206,-6380.52702183604,-4620.98119534952,226.757572310937,3.38175010681153,0,1783.9461144763,51.6598549555058,6013.17001727539,"Finland.Javrresduottar.EC-Salix","presence"
2573.83767555353,3723.61482529164,4076.69203095548,2380.40081932366,-6062.60800846802,-6281.43452791977,-6507.97908753334,-6753.48796311525,-5339.98794456099,-225.817170002147,1.67491626739502,0,2108.37275232802,34.487308828103,5126.22634191319,"USA.YukonKuskokwimDelta.72B2","presence"
377.510429592409,136.146292644581,398.99370369759,-324.160357271972,-2087.32648755708,-1995.48637990408,-2536.19141427848,-2179.73369751683,-1748.27313925368,853.239173399783,12.7060670852661,0,723.154060969562,5.62990109190359,687.784736451476,"nonveg_941","absence"
-221.326256944957,49.4293430433536,711.241253643406,-87.9228752064933,-2096.30552076088,-2028.01472585169,-1915.74646414161,-1127.38896377266,-977.983021154489,-408.505809275286,31.0221977233887,0,932.567510588362,9.36601219499267,534.150978763343,"nonveg_946","absence"
-425.334694414862,757.683092721866,-341.648247405056,147.466663256456,-1547.55874800761,-701.112960099612,-177.205716762633,-2044.79249877549,-1266.73307113476,-672.367642890284,23.4878768920898,0,1183.01778713673,-18.2325037464207,409.164667241187,"nonveg_931","absence"
1386.60258714111,926.382878570748,427.810644329771,398.265898697118,-1666.73637735439,-1581.7170688203,-2506.0364586918,-2892.2486051086,-1284.01791463333,-166.687167389902,11.925238609314,0,988.336688443996,-38.0090585015144,1065.601424601,"nonveg_880","absence"
423.919753127744,1269.48150687397,554.706576944214,1481.45255408729,-2719.54817839292,-3670.81757286394,-3431.62646564539,-4484.46359195504,-1834.71986620389,-701.492541556575,0.0906719863414764,0,1321.21728065763,-80.5023187739105,2628.11149957539,"nonveg_632","absence"
171.719452238544,398.147890449189,651.796179763836,1327.79197753095,-2131.3386434887,-2137.36217700779,-2242.06783746402,-2387.27591162258,18.9613331188555,1199.13373077481,30.8249473571777,0,1156.07252529241,8.71840490924142,1551.9681777547,"nonveg_627","absence"
2937.67602104961,3837.23855405216,4124.24673131518,2277.25843360721,-5257.53229516701,-5803.12083507995,-6220.80241556293,-6552.4626224081,-4536.6493658123,-450.937258498691,0.129927918314934,0,2884.76991007394,49.2713059363931,6219.13472884096,"USA.YukonKuskokwimDelta.B","presence"
552.965891273846,162.746686861308,489.42711398853,-276.361709733924,-283.4179327691,-709.596324634002,-1165.55903287434,-1062.23989485922,-410.67035334229,-297.810004136461,10.1515512466431,0,829.327601007769,-8.10425203589601,442.613846998653,"nonveg_1234","absence"
2390.55079137105,2637.32521732714,2897.03160656749,1459.56909394946,-5095.50729428507,-5517.83748748605,-6116.44078739011,-6119.73675772792,-3958.28677193907,-125.771955588062,3.39800443649292,0,1219.99384622231,43.7688858512777,5744.75692991652,"Finland.Javrresduottar.EC-Sphagnum","presence"
3176.20529582813,3825.80155651398,4326.83582051784,2536.65752171557,-6187.25519958413,-6161.99781910902,-6902.18614314171,-6957.53638382252,-4676.5214562911,-179.697077617733,6.56150388717651,1,2532.3182438611,62.5918783858167,6302.13971945396,"Canada.BonifaceRiver.AB2","presence"
166.290307645629,-139.473929044496,-203.217405457031,-165.921224060987,226.644910259411,113.262399399797,-652.289434277117,-811.354645088994,-139.81251071975,685.018528699498,2.26101779937744,0,369.50771310266,-27.5092803643611,-218.717468294382,"nonveg_822","absence"
2446.85162517332,3262.23890666291,4043.99199682506,1824.48786579174,-6047.32023122703,-5965.11392906067,-6457.30991691124,-6233.18930068211,-5530.53251920905,-45.512634547122,4.06684494018555,0,1946.60126473857,59.3762425103749,4807.64688540193,"USA.NorthSlope.HappyValley-C19","presence"
705.104254457444,-155.856206829524,-302.325478050176,-128.559328792419,-1529.55420087309,-40.7048125363373,-1254.17295573433,-1527.38599012123,-1060.90289298072,728.726090822816,19.9044456481934,0,1096.6330369008,2.86709017928873,-154.254290567844,"nonveg_703","absence"
1517.26909649282,1514.21229824778,1576.91769123294,1197.63197563134,-2887.63307797238,-2739.63458522961,-3193.0641122607,-3136.27581759358,-1197.75376196519,-73.5179644190006,4.65610342025757,0,1084.71189293631,30.1434934721016,2893.21053792155,"Canada.PrincePatrickIsland.MouldBay-C03","presence"
380.817957042946,-52.5101010119054,323.559676208909,108.948490618685,-412.916127323118,-480.864386476863,-944.178068381782,-473.128305851244,32.9288172434077,271.449189092896,29.133918762207,0,588.55668418725,-5.51047893968572,-48.5411926134126,"nonveg_875","absence"
2185.75251407889,2862.65564241148,3310.11774479447,1814.84604209013,-5413.19605239914,-5721.43228813351,-5800.56959164441,-5788.09651011491,-4557.69784225613,-239.804005632294,1.79133111900753,0,2004.52652787464,20.7579354123789,5489.31725862485,"Canada.ChukotkaRiver.TH1","presence"
636.50277681239,188.259769952996,448.38286975671,144.327061072705,-997.938309690835,-1338.6192102279,-2226.16964416576,-1848.78476754097,-800.297423662724,51.0149354008271,15.3318748474121,0,589.170966818943,-30.6549574279642,730.005924275717,"nonveg_752","absence"
317.32190271656,417.049824813423,1196.20094215873,179.645079682197,-1542.14847885275,-2802.97533164129,-2825.5016070508,-1727.69282446977,-1124.5227206146,-250.253279533575,12.5043630599976,0,1016.55586247653,-1.21663159914592,1136.47140342703,"nonveg_954","absence"
814.656094344841,1611.47291679085,960.766047626251,1316.21000526361,-2862.19954622447,-3246.58423789592,-2326.53283489197,-3153.17441715525,-2587.15936385052,-50.6226599240245,11.9502487182617,0,796.816822446011,-16.4379077141881,1928.12449000138,"nonveg_701","absence"
1398.89577428588,1310.27597253071,969.580358107404,734.927820177763,-2038.21898129672,-1430.34802342762,-1652.31399991986,-2167.14526956909,-2042.54534119423,-592.645282139999,0.621461749076843,0,663.967954108116,-0.254358729057266,1415.12159039914,"nonveg_508","absence"
2735.90975552941,2993.7645187571,3577.86135310815,1593.41480710275,-5029.01850869016,-5121.07817656882,-5576.51429773497,-5183.45443370258,-3154.14303722554,132.142279003125,3.10676834318373,0,1768.38457322277,64.756585539745,5583.09436414651,"Canada.BonifaceRiver.LSA6","presence"
523.313097092117,1029.85399418676,138.821568949563,906.69491740578,-1602.42309670661,-2180.84169969669,-1826.24879667191,-3042.98674451612,-1061.80218859458,-158.468445432274,1.75999760627747,0,891.032425237195,-48.2102955821484,1733.28792381707,"nonveg_913","absence"
380.817957042946,-52.5101010119054,323.559676208909,108.948490618685,-412.916127323118,-480.864386476863,-944.178068381782,-473.128305851244,32.9288172434077,271.449189092896,29.133918762207,0,588.55668418725,-5.51047893968572,-48.5411926134126,"nonveg_875","absence"
2121.53410268196,2337.11057846974,1761.52726102273,2043.51827340501,-1991.23017110067,-1955.90901398797,-1952.26733515049,-2770.25193805432,-141.817364334236,229.681111335141,13.2748689651489,0,604.36075985513,-19.8053523943841,2048.37064493561,"nonveg_706","absence"
1041.32432263971,745.739668270941,331.675269831194,-78.6398709457472,-1827.07593228112,-10.351861697945,-818.67577459094,-1692.09051551539,-1384.90268533384,302.06819108002,27.3541851043701,0,1119.96419358545,-0.625678192011283,491.338588223978,"nonveg_560","absence"
2262.01006763171,3642.74132523012,4223.45792233695,1919.638031737,-5365.00945659232,-5614.67956931197,-5795.00240081036,-6122.69769587894,-4094.43204000291,26.3474649235731,1.35831093788147,0,2568.56534774632,86.8131878129612,4863.2815622245,"Russia.Kolyma.WT1","presence"
1593.83075680339,1876.06036306121,1773.32852980846,1292.02766327328,-4037.60383130869,-4054.51286311174,-4062.82345938788,-4388.86428709351,-3473.09694244057,-229.880204465518,1.72614439328512,0,371.99257620848,3.71211563499416,3251.59457321391,"Canada.ChukotkaRiver.TPO5","presence"
3171.66825486286,3922.74353373386,4494.14518133386,2188.15061143283,-6089.80941069393,-6317.69571833165,-6575.38174293333,-6215.94555435233,-5331.51697922489,-59.1280192926458,1.04901819825173,0,1903.59459104446,32.724634757125,5651.61316630391,"Norway.Javrresduottar.A-Sedge","presence"
2721.95742890845,4189.98827525357,4568.05626086522,2039.38885936714,-5702.39388064999,-5952.32668922284,-5786.43699873029,-6188.84952679004,-4364.08300729747,6.60330860235231,3.34166109561921,0,2682.58409640144,64.2276601007082,6039.47830987767,"USA.Kougaork.GraminoidShrub","presence"
2660.22591630113,3743.59998722365,4126.65482964168,2187.5878144514,-6174.82988383498,-6050.29236101834,-6734.09727780097,-7180.78399082961,-4312.35979963181,-76.1745119088758,1.91410125626458,1,1395.24428722599,20.285504795561,5607.60817256121,"Canada.ClearwaterLake.AB2","presence"
2450.77099190835,2986.82863930816,3100.26918721898,969.945300289655,-4419.16986675562,-4518.38375974979,-4719.99940975486,-5195.03394946676,-1460.00618713844,91.7805713080692,0.679316937923431,0,1901.36187276167,40.3786748605088,4128.26300683762,"Russia.Yamal.Kharasavey-2b","presence"
2246.19147098685,2895.43259802827,3026.2740625335,1850.20235689808,-5079.21750894284,-5545.73932583334,-5626.66625187937,-5728.99480649822,-3120.85700813671,-35.250669315931,1.19006933106316,0,2187.11862538904,66.6226707759343,5109.62658601817,"Canada.CoutureLake.TDO4","presence"
2262.01006763171,3642.74132523012,4223.45792233695,1919.638031737,-5365.00945659232,-5614.67956931197,-5795.00240081036,-6122.69769587894,-4094.43204000291,26.3474649235731,1.35831093788147,0,2568.56534774632,86.8131878129612,4863.2815622245,"Russia.Kolyma.WT1","presence"
