"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2959.68134781194,2310.45096193222,2872.99948555034,3471.3317380009,1768.42032094066,3438.4124318539,-5105.14458940253,-5546.9841866,-6075.63539730706,0,2042.24172305309,26.0820586084981,-5748.76219776978,-5863.88553167346,"USA.SewardPeninsula.18","presence",0,0,1,0,0
92.9003410281693,-134.202850669601,571.70597758814,372.779306651765,294.008465531567,444.955448297504,-1634.50368128939,-2065.52401135045,-1353.13295148579,0,705.908828257741,-9.57657735730468,-1353.13295148579,-1242.80379403289,"nonveg_806","absence",1,0,0,0,0
-81.1106576369456,-115.191763708193,-387.923163636091,65.7378707637812,-346.104894860667,-481.46415333006,-1000.89169387959,-1028.22101970364,-832.232942229591,0,453.661034399873,8.54820120076521,-1028.22101970364,-1091.5252394388,"nonveg_995","absence",1,0,0,0,0
2408.38805355486,2352.2199755122,2887.74096146818,3207.8767135052,1429.46236623176,3594.10577251235,-5256.19298193717,-5818.60494349439,-6018.59910646973,0,1972.2578951016,52.6297976267127,-5279.43123537231,-5635.12937907028,"Finland.Javrresduottar.EC-Sphagnum","presence",0,1,0,0,0
-136.6238704151,50.6393087553635,536.394957722384,823.720584661106,-94.8834362497483,-425.314547969296,-565.125821533537,-827.369373361815,-303.125081406852,0,960.344455076206,-1.73918475688967,-554.91854716994,-412.217404938078,"nonveg_1213","absence",1,0,0,0,0
2354.35356534462,2023.63734303053,2556.72554528671,2937.12261580722,1767.22365640705,3290.17257770779,-4846.40794031036,-5449.17831392797,-5508.68392780096,0,893.38287643453,8.49121488431302,-5485.7146445039,-5150.40466942168,"USA.YukonKuskokwimDelta.4","absence",0,0,1,0,0
3211.19450041933,3564.80397586087,3740.421500881,3852.19788769647,2260.51363424608,4242.05035939094,-5548.34727202942,-5616.99014322243,-6383.53380337686,0,2063.62946638181,40.1801560789491,-5481.74552917874,-5756.28760835921,"Sweden.Abisko.NT-DryHeath","presence",0,0,0,1,0
2065.06285765895,1333.38464609226,2799.29458208477,3606.14416467663,710.833262749054,1986.75084554816,-5519.19758251275,-4813.47072264781,-5963.63708135626,1,2670.4278085589,28.3569941875688,-5791.61588216583,-5388.74321800551,"USA.InteriorAlaska.23","presence",0,1,0,0,0
-413.947565916737,-152.639767489852,-372.034871913128,-246.665519317174,-165.6724931238,-454.089520791694,-485.280679471684,-150.19885441534,-440.041174155401,0,261.307798426885,-10.3447946997057,-440.041174155401,-265.79908644678,"nonveg_536","absence",0,0,0,1,0
460.001685506488,-127.535532408649,-12.77864823713,934.826431277428,689.943047199913,952.205389746083,-1531.98326534397,-2360.36306814679,-1183.36822555647,0,1062.36196368608,-8.21219148905092,-1531.98326534397,-1648.21814197289,"nonveg_568","absence",1,0,0,0,0
472.168951062106,539.81013010218,750.602482150339,1342.86756982991,273.803635121548,528.533167230018,-2539.30767483372,-2263.95830622404,-1878.82406581649,0,1069.06393470837,7.08447556930563,-2263.95830622404,-2178.79567427338,"nonveg_998","absence",0,0,1,0,0
