"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeLSES","spectral_NDWI_annualMean","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
3331.892849496,3679.74336022714,2204.34755564254,5381.31580393798,-5605.16005071513,-6180.31993992103,-6117.12271702055,-6173.4764613065,-5261.64552208113,0,3348.08752736397,1379.82758365654,-35.7955121339542,-6134.71009524972,"Finland.Kevo.1","presence",0,1,0,0,0
945.170708927132,1355.27431956311,922.981271239645,1777.99592836269,-2568.75952209049,-2347.03459286968,-2296.97429634472,-2107.43547641301,229.761186935922,0,945.170708927132,722.861013207226,-3.92313180638739,-1818.0885401564,"nonveg_619","absence",0,0,0,1,0
798.350204072458,492.043058266901,186.452360657775,677.390860661166,-2413.12731876779,-2190.46132566756,-2536.75815970182,-3327.91475142221,697.783293154071,0,492.043058266901,642.984821687338,-1.55434891363278,-1954.09565248106,"nonveg_1672","absence",0,0,1,0,0
2332.18398638833,2623.18499388444,1438.04887512502,5135.21841188624,-5179.40840931913,-5487.66414654912,-5902.40340964392,-6483.398394431,-4228.34194339598,0,2434.20897434234,1654.04462417319,-30.5626492576835,-5392.57206762293,"Finland.Javrresduottar.EC-Hummock","presence",0,1,0,0,0
1962.23137052154,2237.51270314417,556.437211024773,4259.9076253218,-4494.25910671182,-5299.29996412747,-5023.92427370179,-6008.33947284439,-4208.36093028559,0,2368.24717881075,2301.39068367399,-106.854788176461,-5026.78810239289,"USA.NorthSlope.14","presence",0,0,1,0,0
1157.749344224,1600.2529467859,842.728222441323,1762.96440734565,-2524.3291134938,-1842.51861777562,-2794.07565712645,-1952.12894367187,-2027.29998297895,0,1063.46260937097,757.524724344573,12.1983807138528,-2228.07046300934,"nonveg_807","absence",0,0,0,1,0
-400.87737331032,237.288571190075,-220.627313905888,-51.8254025192898,-1324.50083039111,-1795.8394591658,-979.91219600623,-1033.33221746852,-546.216562113484,0,-108.873886324862,799.646612641971,-66.6372177201643,-1135.96025302903,"nonveg_1416","absence",1,0,0,0,0
958.582438286834,1128.26794719085,556.786629042626,1878.666992288,-2604.55426015478,-2961.76891162998,-2547.38351830836,-2849.52719729995,-1400.13362359651,0,1031.93155449749,881.47672364073,-122.95178536038,-2524.57775633751,"USA.NorthSlope.HoweIsland-C12","absence",1,0,0,0,0
945.170708927132,1355.27431956311,922.981271239645,1777.99592836269,-2568.75952209049,-2347.03459286968,-2296.97429634472,-2107.43547641301,229.761186935922,0,945.170708927132,722.861013207226,-3.92313180638739,-1818.0885401564,"nonveg_619","absence",0,0,0,1,0
692.839880418341,1599.03447670561,1066.78309535665,3422.58369890787,-2445.60822483627,-3394.45533775693,-1707.22124441887,-3411.23491446453,-2260.86490636883,0,1599.03447670561,2254.61065653404,-132.624156266708,-2643.87692556908,"nonveg_632","absence",0,0,1,0,0
-224.706976129633,-350.809417916165,793.102374002068,577.139946549746,-949.283363388439,-1589.62170082207,-1826.16657094155,-2138.52789241572,349.019527664235,0,-169.623946247333,1143.91179191823,-2.62300142296665,-1230.91599998071,"nonveg_932","absence",0,0,0,1,0
1517.18339505611,1301.50178741152,827.764338499346,2301.7487856603,-2889.39338482133,-2725.19815157328,-3484.33991175215,-3749.43110290447,-1921.86802571446,0,1558.98192134099,907.594158818481,-24.6514658215185,-2525.79155602456,"Canada.PrincePatrickIsland.MouldBay-C04","presence",1,0,0,0,0
2857.22661160296,3204.709291142,1799.79577222863,4790.49533789453,-5522.84947288028,-5739.31470046847,-5972.05983652893,-5931.80563239276,-4907.00747437179,0,2323.24779357102,1837.06616612295,-23.6811143543015,-5797.33923007867,"Norway.Javrresduottar.EC-Sedge","presence",0,1,0,0,0
2797.11886294956,3087.74472362117,2042.14256188995,4611.40712495748,-5407.69745958836,-5767.34762496599,-6158.59176435259,-6013.37986958124,-4205.17391737184,0,3094.8606506708,1347.18754431398,-6.39749003566365,-5307.38902915692,"Russia.Yamal.OstrovBelyy-1","presence",1,0,0,0,0
2930.91609791409,4112.30952835803,2391.51475602948,5565.82999974725,-5405.51301037429,-5238.52460204975,-5877.45970990446,-6190.47107949308,-5803.08020638577,0,3539.58711585042,1920.51435329622,-35.0860809125225,-5362.03425657107,"USA.BrooksRange.6","presence",0,0,0,1,0
929.506729615111,1027.00878781073,1111.17369430843,2593.80484159507,-946.490694781341,-2068.33346146811,-3177.20438658809,-2140.73989049645,-1635.36045266754,0,1027.00878781073,1296.19511579971,48.9505238701565,-1993.62577720031,"nonveg_863","absence",1,0,0,0,0
3201.09656905446,3520.08433214892,2499.5457696819,6855.62372083661,-6527.69760924327,-6698.30010010723,-6942.48850372734,-7303.65051329611,-5552.71885692063,1,3158.27671239781,1104.7911822824,-44.8277289920154,-6568.45992504927,"Finland.Kevo.6","presence",0,1,0,0,0
