"spectral_EVI2b_earlySummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","topo_slope","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","site_code","presence_absence"
226.858918458779,769.565929414992,-591.630151915949,-1118.05012239936,-339.951523337268,20.7710285186768,1419.16897743536,-940.32604472836,"nonveg_616","absence"
2284.06700995087,2766.52372191138,1639.36000958519,-4820.14292540205,-5306.62765029164,4.51342897415161,1376.99354576133,-4874.28360298406,"Finland.Kevo.12","presence"
601.897203191078,1211.46049482143,950.443830283279,-2890.89343817189,-1732.47840908141,0.411850243806839,1018.46742491335,-2348.95446792656,"nonveg_863","absence"
2445.20039492272,3125.8638947066,745.174029293153,-4003.97553141153,-5280.93545065469,0.679316937923431,3060.43549293612,-4482.81012169181,"Russia.Yamal.Kharasavey-2b","presence"
233.705998741896,524.778527402011,558.046589636909,-1948.91939455466,-1650.55291532809,1.47050523757935,324.340590895012,-1530.81525409262,"nonveg_979","absence"
978.02552341704,467.306696311736,709.312364618084,1590.58543908344,3065.49388778609,28.8310146331787,751.682579485708,3346.95903684567,"nonveg_991","absence"
2262.72412187636,3018.31120497226,1421.03919732437,-5593.50023504265,-5939.57963040817,3.16292464733124,1434.21035076975,-5512.15915682469,"Finland.Javrresduottar.EC-Betula","presence"
164.343231373783,457.784598273152,113.211358742228,-763.51351744411,-1666.36305367398,32.4173698425293,835.609650807213,-763.079644902218,"nonveg_1469","absence"
1875.92238067029,3077.42874740209,1936.25274397042,-5477.23848448581,-5425.58094023268,0.873459060986837,1353.19015904092,-5073.81499457968,"USA.YukonKuskokwimDelta.5","presence"
2284.06700995087,2766.52372191138,1639.36000958519,-4820.14292540205,-5306.62765029164,4.51342897415161,1376.99354576133,-4874.28360298406,"Finland.Kevo.12","presence"
2594.97944296144,3620.7102437117,1715.43471510425,-5914.59664745718,-5993.22486936445,3.79509353637695,1777.53998271819,-5973.57387353093,"Finland.Kilpisjarvi.20","presence"
2781.59404629666,3832.5299086274,898.587982802425,-4836.08239485287,-6054.31127650309,8.87829653422038,2214.63298897939,-5706.70048954407,"Sweden.Abisko.KJ-BirchShrub","presence"
-189.57814124918,538.76234808523,-746.048816057647,-2935.24095589891,-3774.48002212241,20.4929790496826,1512.4451763755,-3038.62879833517,"nonveg_730","absence"
1026.10239803028,1154.19051740172,808.606154487369,-3276.33894040786,-3130.57852632321,2.10152578353882,530.773466153496,-3128.48238595702,"nonveg_996","absence"
2272.62574487745,2743.97978866723,1562.43567034988,-4867.82362285809,-5322.57066609076,0.873119515677293,1531.08162081249,-5152.91781425954,"USA.YukonKuskokwimDelta.15B3","presence"
3055.48018228511,3834.7958714676,2146.45534897097,-6306.67022639073,-6617.10397768336,4.82491683959961,1400.84418580526,-5895.28948387923,"Sweden.Abisko.VJ-DryHeath","presence"
2208.52635009155,2800.34233083203,1765.62816258821,-5222.56183628186,-5261.79637793753,0.928818821907044,1069.84981767789,-5057.77494804563,"Russia.Yamal.VaskinyDachi-3","presence"
-922.711084219512,-356.558753989695,-536.772424719921,2682.78827798729,3852.5915695477,29.1277923583984,566.152330229816,3514.7519601617,"nonveg_1367","absence"
2855.7136994877,4379.64301463531,1712.85285562975,-5701.94470945734,-6229.53866945169,0.236205102668868,2184.48928278717,-5654.2532239589,"USA.YukonKuskokwimDelta.15B2","presence"
