"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","topo_eastness","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NBR_changeESPS","spectral_NDMI_changeSSES","spectral_NDVI_annualMedian","site_code","presence_absence"
-210.259186353989,674.2643701467,54.3136471878374,752.384987250337,986.381219034827,1153.32928281675,-216.813963940539,1390.26545984352,-0.270900636911392,0,54.3136471878374,884.52355650069,-52.8574836566192,-112.78222389982,730.042523556746,"nonveg_593","absence"
470.561835473756,755.180291415087,429.477659969054,-1729.1212086217,-1991.19961769339,-1693.25952714972,-1322.01402366547,-912.186774589391,0.0937525406479836,0,470.561835473756,814.862632192854,-13.4383535533344,-45.1006974144302,1109.15420025467,"nonveg_935","absence"
2823.66607621536,2902.89935837974,1868.42553553176,-5474.71773245742,-5750.50072965342,-6417.28915610593,-6338.45887161864,-4617.68731376518,0.0360859256237745,0,3025.90776030614,1193.32840297164,21.9390693943296,34.6897170515236,5579.82732614759,"Norway.Javrresduottar.EC-Sphagnum","presence"
2530.12377675205,3056.04292398097,2067.03958929116,-5450.25362813334,-5483.46944232326,-5950.81954053747,-5983.9206776015,-4766.84744059342,0.0298529911786318,0,2660.24008741693,1556.48006526851,48.7348386321479,9.47883402427579,5021.13213526521,"USA.NorthSlope.Sagwon-C18","presence"
-317.028385968974,680.06000005463,276.890889267491,-1463.62973097213,-1904.55547810859,-526.996068714646,-1122.47002484903,4665.89087387993,0.00580652989447117,0,276.890889267491,1404.23117238972,14.1967420354952,-145.984603094268,-111.646726832087,"nonveg_1888","absence"
2843.0995384783,3396.55865164355,2493.03918820881,-5159.3476857068,-5837.2368249679,-6633.71969992996,-6260.31863686389,-4392.23033487766,0.000387706599819163,0,3441.81722099373,2470.83633801634,54.036957106811,7.37692021722,5742.21981209798,"USA.YukonKuskokwimDelta.B","presence"
2884.2622721217,3260.70908363911,1483.71522395589,-5247.78728424548,-5418.49505279852,-5589.0307636729,-5786.01459063076,-3521.65975136482,0.0110533704981208,0,2294.88276838819,1646.42133917938,29.4667886614946,43.9165760087112,4245.85727552278,"Russia.Tiksi.FloodMeadow","presence"
-178.25151950622,198.260913425832,103.823622250762,-1043.99604026378,-1100.8978098305,-666.061631906967,-169.399323305302,27.2451056267158,-0.283094644546509,0,103.823622250762,1374.19347995479,10.3915681153725,-40.7144275307141,-85.0602719910518,"nonveg_875","absence"
1540.62050033367,1981.67086219102,620.452823314916,-3099.53748759407,-2407.81586234552,-2683.68089418137,-3508.23393338111,-123.192411697062,0.00422522192820907,0,1438.17382229382,1577.40517879892,71.4086069157434,-70.1812116424643,3069.8978762926,"nonveg_671","absence"
2214.43931608082,3480.85385958832,2124.78875958855,-5684.49796519784,-5805.1124540542,-5478.52915216196,-6390.7555204866,-4880.21320312963,0.0229436401277781,0,2797.57263991994,1524.66681652194,55.117068137696,8.11272989640321,5030.65767521424,"USA.NorthSlope.10","presence"
1755.61776957874,2131.56799855454,1311.62271594413,-3757.07879096951,-4018.01139014007,-3981.76773814395,-4510.84033079958,-3181.195846901,-0.00568758742883802,1,2019.22549881674,1126.2756644755,-16.6037980149553,22.1757011054934,4030.22002390661,"Canada.ClearwaterLake.LS1","presence"
351.881310010988,645.426710243707,469.073935515083,-1430.9492259102,-1664.35887166628,-1422.20664070447,-2514.49903957674,-599.167650014607,0.00849623885005713,0,469.073935515083,572.470755842439,-16.0226671561687,-20.8811260133832,1102.48552971273,"nonveg_979","absence"
-178.25151950622,198.260913425832,103.823622250762,-1043.99604026378,-1100.8978098305,-666.061631906967,-169.399323305302,27.2451056267158,-0.283094644546509,0,103.823622250762,1374.19347995479,10.3915681153725,-40.7144275307141,-85.0602719910518,"nonveg_875","absence"
2029.90576234987,2654.91479751387,1784.5195748356,-5671.89614453281,-5663.7262928117,-6049.11839988028,-6383.97501891632,-4560.87928884819,-0.000964491060585714,0,2374.1126476759,1636.351465436,16.5692275250059,32.3185043243954,5636.2194091632,"Canada.PayneLake.TDA3","presence"
2783.47382086042,4315.87466907314,1677.41285265536,-6333.0212935922,-5776.07165590181,-7042.47619375977,-8156.53225052715,-4313.60375518486,-0.00815737619996071,1,3342.65633884881,3213.39395294324,83.9524730860115,42.3144543801166,6915.35147461333,"Finland.Kilpisjarvi.17","presence"
