"spectral_NDVI_peakSummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
6594.74085163815,-5707.62122330675,-5638.85078260382,-6540.6134822361,0,3516.71338268047,1999.27367620005,-5918.17200174862,"USA.NorthSlope.Ivotuk3","presence"
1376.83452379281,-1479.12052058487,-1250.59341577481,-1356.65877359664,0,715.622652792042,764.605893132051,-1250.59341577481,"nonveg_535","absence"
4126.6258484332,-3002.48007413592,-1687.00806157349,-1548.33746932335,0,1091.35328519001,2361.16340416519,-1687.00806157349,"nonveg_648","absence"
670.474203106715,-1445.65850542804,-1628.37883914211,-1983.74728058235,0,294.896921761236,360.782796203656,-1628.37883914211,"nonveg_645","absence"
704.130857930362,-339.299917975621,-82.895301766737,-211.117837548591,0,243.295227202266,1135.68003223181,-211.117837548591,"nonveg_558","absence"
1641.36766245629,-949.462703495925,-1948.63607942707,-970.93721492403,0,1138.77758322274,1239.18654459417,-970.93721492403,"nonveg_700","absence"
7488.56214358555,-6049.78488618414,-6155.97618962731,-7223.58809902805,1,3136.26022740827,2229.31479932171,-5979.65466740805,"Sweden.Abisko.NF-Wetland","presence"
951.242913238071,-1658.72266376405,-1969.62802030001,-2585.62739345864,0,485.50811250647,773.651903540715,-1969.62802030001,"nonveg_606","absence"
6808.30607843185,-5241.02733578346,-5640.36537773445,-6380.61149335176,0,2677.81322396897,2376.44079276246,-5941.61796744566,"Sweden.Abisko.KJ-BirchShrub","presence"
1083.36696361119,-2517.10446471066,-2968.99060315053,-3804.92325304892,0,879.828935418997,941.731242213745,-2517.10446471066,"nonveg_507","absence"
148.3852012927,-2317.99100329852,-2152.87066952102,-2774.6174753343,0,354.250993210236,684.414361839813,-2317.99100329852,"nonveg_583","absence"
6704.3786345658,-6040.09849590674,-6221.11380456045,-6729.15405940011,1,3015.2938772131,1194.39522524967,-6790.17751518372,"Canada.LeRoyLake.TDA6","presence"
5194.8602483684,-3957.71799150457,-3084.78822822642,-3825.25556939827,1,1199.03678491829,1197.2796082675,-3825.25556939827,"nonveg_856","absence"
1263.92187402478,-1881.18517023647,-2872.19087383592,-1854.33481663462,0,570.244028316349,765.838517053276,-2139.93473371202,"nonveg_940","absence"
1317.20035434479,-1374.38952659623,-1527.05505540979,-1159.24043387781,0,270.598198263071,1587.37290369021,-1374.38952659623,"nonveg_673","absence"
6849.94185571004,-5843.69273146534,-5839.51624654476,-6146.92124509219,0,2270.89697182576,2584.79639977325,-5321.08394785341,"Finland.Javrresduottar.A-Hummock","presence"
4895.53923063003,-4085.19570544687,-4208.34630895148,-4520.29254909294,1,1250.94437275987,2049.2982390216,-4857.21288040215,"Canada.LeRoyLake.TD4","presence"
434.06483045195,-1496.15526476906,-1417.78125898805,-1675.2086700066,0,216.803252573815,458.034777205692,-1417.78125898805,"nonveg_997","absence"
6944.3959150004,-6071.53164675899,-6516.08161015343,-6734.85704584103,1,2512.84040362246,1694.66708884974,-5749.53189717377,"USA.InteriorAlaska.22","presence"
6546.01689922291,-6062.80702862796,-6124.50055016252,-6679.8413343513,0,2950.1074394974,1943.53315226833,-5902.39159630814,"Finland.Javrresduottar.A-Sphagnum","presence"
858.758754533377,155.01853017238,427.184992674364,-274.809211473678,0,565.101392479711,1021.57019354867,-274.809211473678,"nonveg_1089","absence"
3870.66012179275,-4166.56711816735,-4101.35822019115,-4605.50632541256,0,994.608932522929,553.577740040409,-2988.51053676529,"Canada.ChukotkaRiver.TPO5","presence"
6510.72965825071,-5304.26607224068,-6039.09706120918,-6192.43608820594,0,1676.36522300369,1221.3660762452,-5702.35044102091,"Norway.Javrresduottar.EC-Salix","presence"
2563.50973039525,-1940.60638637475,-2432.03624588567,-2255.23284266562,0,1140.29219615198,777.11376172926,-2255.23284266562,"nonveg_746","absence"
495.278510120845,782.332027217684,1524.432513906,789.167241109736,0,160.722184677795,602.249526694246,1035.81211459741,"nonveg_1509","absence"
4107.9440724839,-3621.24637826047,-2677.40571978615,-2422.28453237239,0,1180.01891786468,2096.21658898848,-3019.86581979973,"nonveg_1132","absence"
1482.61685186772,-2463.11532108614,-1699.69180494377,-2002.91455178857,0,702.192375655369,492.220873238772,-2002.91455178857,"nonveg_849","absence"
6737.52524834008,-5365.37876652796,-5483.96772700496,-5514.32733635343,0,3596.29785103897,2915.72176598918,-4890.57184587927,"Russia.Tazovsky.Burned12","presence"
648.677423691004,575.364739945397,-320.203678280998,-929.940967531568,0,-144.392050900785,974.394048552527,316.442188387904,"nonveg_1547","absence"
-688.745433094428,-369.462256128664,-95.7243645069119,-921.338301396756,0,-118.60365081015,808.203757599138,-95.7243645069119,"nonveg_536","absence"
6761.7464389119,-6080.9594992831,-5701.55057447588,-6489.69400690779,1,2776.62760324048,1161.73744903835,-5728.50536417966,"USA.InteriorAlaska.4","presence"
1118.74708579355,-1726.71951085206,-1280.38945499903,-1772.29279612758,0,809.558213701265,743.45958692288,-1682.83918776871,"nonveg_825","absence"
6944.3959150004,-6071.53164675899,-6516.08161015343,-6734.85704584103,1,2512.84040362246,1694.66708884974,-5749.53189717377,"USA.InteriorAlaska.22","presence"
2380.21477191449,-3273.17987696979,-2329.91501914118,-3065.15797978354,0,936.663360882988,474.146922502704,-2594.50795349166,"nonveg_758","absence"
148.3852012927,-2317.99100329852,-2152.87066952102,-2774.6174753343,0,354.250993210236,684.414361839813,-2317.99100329852,"nonveg_583","absence"
1841.32311985975,-2284.36275554092,-2342.85016531256,-2078.39215556743,0,619.930231269042,1084.22890681769,-2275.94206243733,"nonveg_954","absence"
6894.93359497929,-5776.58897695696,-5944.74713751484,-6618.02325160831,0,3171.14987774317,2011.86058867743,-6083.20120494843,"USA.SewardPeninsula.QuartzCreek2","presence"
1482.61685186772,-2463.11532108614,-1699.69180494377,-2002.91455178857,0,702.192375655369,492.220873238772,-2002.91455178857,"nonveg_849","absence"
6197.3048014297,-5284.81208312807,-5867.38452171789,-5606.0724727284,0,2735.16903725026,1104.34508786199,-5915.99079502279,"Norway.Javrresduottar.EC-Sedge","presence"
1263.92187402478,-1881.18517023647,-2872.19087383592,-1854.33481663462,0,570.244028316349,765.838517053276,-2139.93473371202,"nonveg_940","absence"
1579.38460160244,-1060.37601216531,-1687.738909609,-1866.39673613481,0,530.862384665661,760.637802638202,-1828.08277775933,"nonveg_968","absence"
6941.66903317568,-5426.84449697606,-4888.90931602714,-6210.35907117803,0,3627.23073798899,2368.22080134555,-4573.45946948076,"USA.BrooksRange.8","presence"
775.769368323414,-1674.02897385522,-1956.58159683783,-2337.41403841926,0,282.078130688325,333.317790991652,-1956.58159683783,"nonveg_637","absence"
2356.65683520958,-2459.21269604071,-2522.56801656909,-2681.77071179491,0,1073.41430504338,721.579341007464,-2643.19895267435,"Canada.PrincePatrickIsland.MouldBay-C00","presence"
7288.3889671565,-6454.52206671029,-6252.61028303002,-7307.80253965465,0,3958.02210018921,3724.61250046001,-5594.92157888585,"Finland.Kilpisjarvi.16","presence"
5986.72186999047,-5117.59882277213,-4278.69837543814,-5866.58565250891,0,3754.11567319596,1822.67075301236,-5693.55265341789,"Canada.KluaneLake.Ruby-MixedTundra","presence"
5704.67565497223,-5336.19168906228,-5179.49403931516,-5671.3844299484,0,1915.7080885298,2567.79701123202,-3448.0756614934,"USA.Kougaork.LowShrub","presence"
-1198.39755540037,8985.97149804403,6457.62751014406,9170.1208423491,0,-83.2274769295839,597.409230310371,8537.33848204946,"nonveg_1994","absence"
5625.13722885896,-4610.88091181437,-5381.60285371205,-5773.06692015578,0,3201.30282808768,3384.22605766722,-5095.90969243046,"Canada.BonifaceRiver.LSA6","presence"
8601.22326723606,-6199.66280918227,-6656.50261705783,-6932.74047800114,1,3605.5793195651,3489.16453731506,-6275.35113272733,"Finland.Kilpisjarvi.15","presence"
6420.8605982561,-5635.74048289867,-5950.18675309218,-6476.18053828066,1,2952.85409788347,1598.18455886223,-6111.09591861654,"Finland.Kilpisjarvi.20","presence"
6055.0501099322,-5545.37516721247,-5554.44315354353,-5940.55624619487,0,2733.24733988825,1618.37173425453,-5478.86683249748,"USA.SewardPeninsula.18","presence"
5088.00193029585,-4597.05932064317,-4476.94746809187,-5310.43217818997,0,1486.06215093448,1779.92455589258,-4764.73957186722,"USA.NorthSlope.FranklinBluffs-C16","presence"
5126.50338430549,-4129.88653067774,-4686.47698652506,-4960.66485800704,0,1869.72771673867,2538.47372516156,-4330.01774420242,"USA.NorthSlope.Deadhorse-C16","presence"
1003.63951027562,-1684.87643560281,-1688.0407839764,-2171.72284083883,0,404.441449922448,700.70626182901,-1688.0407839764,"nonveg_941","absence"
2169.58369317195,-2416.35178737845,-2244.88108343565,-2075.51533207669,0,473.475833811286,616.241265209606,-2244.88108343565,"nonveg_913","absence"
2031.8439971763,-1620.46481708304,-1296.8272547018,-1440.19290086853,0,753.769479888451,812.550690341329,-1620.46481708304,"nonveg_736","absence"
5986.72186999047,-5117.59882277213,-4278.69837543814,-5866.58565250891,0,3754.11567319596,1822.67075301236,-5693.55265341789,"Canada.KluaneLake.Ruby-MixedTundra","presence"
4760.2350688489,-4595.89311315129,-5180.07067674152,-5439.89906782669,0,2396.14928391663,1611.25071478085,-4827.33283240026,"USA.NorthSlope.Barrow","presence"
4993.81279078267,-4987.58817018001,-4709.94416997154,-5156.38504119813,0,2595.45376296325,1502.3132834399,-4507.83882117198,"Finland.Kevo.12","presence"
6874.07529795953,-5380.80734494772,-5689.99309717685,-6405.47648755101,0,4058.66352136203,2473.09804323349,-5939.1494426158,"Sweden.Abisko.KJ-SalixShrub","presence"
7257.11921283729,-5750.15182877959,-6158.66613015519,-6855.96410097386,0,3261.85807587314,2296.96575725385,-6361.77662586727,"USA.SewardPeninsula.19","presence"
6428.80951465706,-6152.67312386303,-6100.6613270014,-6869.6543794148,1,3013.30051105104,983.155922741976,-5971.78054027833,"Sweden.Abisko.NF-DryHeath","presence"
6262.43325202347,-5930.93132242845,-5845.35660525688,-6365.67724525034,0,2837.5490420093,1266.24541768101,-5637.10642506214,"Sweden.Abisko.NT-BirchShrub","presence"
5337.23319687043,-5596.61503982186,-5409.87982198984,-6042.82016637421,0,2845.74603974472,1377.98597702508,-6019.40943514212,"Russia.Yamal.OstrovBelyy-1","presence"
3914.07126953974,-4257.35414092724,-3916.51615067559,-4557.8879027735,1,1721.3326247465,1265.2126875004,-3776.48736975632,"Canada.ClearwaterLake.LS1","presence"
6461.76550039756,-5920.18225889508,-5906.04947174012,-6262.87577585655,0,2921.975936278,1864.32546577606,-5910.57098549938,"Russia.Kolyma.T2","presence"
5558.52062548024,-4860.41403516852,-4741.18480335103,-5479.12508501031,0,2249.5490459608,2505.43431253507,-5019.43867093843,"USA.NorthSlope.Sagwon-C16","presence"
6697.60016218875,-6284.85447311452,-5920.1498015604,-6443.18518998901,1,2959.10669249036,1473.78886814496,-6234.98608890309,"Russia.Kolyma.T1","presence"
3209.83249595238,-2894.88162615474,-2901.13934326549,-3820.64002695052,0,71.3002364470059,738.592427023073,-2901.13934326549,"nonveg_730","absence"
-414.940767422399,-564.753406458616,-666.893667782519,-1627.87185513055,0,350.06697044289,1098.82095972025,-666.893667782519,"nonveg_1316","absence"
8128.89993520476,-6235.25776897916,-6173.66952817072,-7347.42584782333,1,3622.58893826606,3456.48958408567,-6237.38754517582,"Canada.BonifaceRiver.AB8","presence"
1410.33524859227,-1358.50200418773,-1622.01565008431,-399.470546152555,0,217.104979448071,745.919565854004,-906.740584896972,"nonveg_806","absence"
798.385228147068,-1994.63163364839,65.9854573240425,-1970.27651463087,0,279.250061607759,822.361264888841,-1970.27651463087,"nonveg_757","absence"
1189.71958323958,-1380.7589225173,-1685.22892586139,-1498.3970201909,0,349.045337987463,507.679634220051,-1498.3970201909,"nonveg_681","absence"
7008.72255052635,-5905.62769395558,-5680.62210787512,-6383.88134329115,1,3341.76816990938,2194.28392665108,-6170.20283956203,"Canada.BonifaceRiver.AB2","presence"
2019.76020371201,-2549.29002843808,-2902.89800275004,-3136.19786814641,0,1058.55267676771,717.637537056794,-2564.17396353091,"USA.NorthSlope.HoweIsland-C13","presence"
1132.5495945392,-1576.42353974287,-2035.9072493615,-2457.16520792326,0,643.222238603707,510.785756546324,-2035.9072493615,"nonveg_975","absence"
719.200333695446,-2270.05439318281,-2302.67060868406,-4102.05252193331,0,322.857501099379,1912.15380670475,-2270.05439318281,"nonveg_666","absence"
2019.76020371201,-2549.29002843808,-2902.89800275004,-3136.19786814641,0,1058.55267676771,717.637537056794,-2564.17396353091,"USA.NorthSlope.HoweIsland-C13","presence"
1069.15197486497,-1016.35652315366,-1279.43918829169,-444.837321653853,0,401.075065247894,996.258378144346,-975.488301371312,"nonveg_572","absence"
