"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_EVI2b_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
3635.33818040945,4563.69509263511,2377.53311809316,-6651.03942242503,-6720.37209631841,-7605.77083662905,4201.1347483891,-6540.71633835788,"Norway.Javrresduottar.A-Sphagnum","presence"
-121.492326673423,-222.601103295401,-204.917131076519,-222.035486764657,146.034230058845,-966.807452992709,-121.492326673423,-305.631805625891,"nonveg_1089","absence"
1473.74197196505,3040.47174452131,1407.19128563337,-3871.30514976475,-4697.35364341059,-5490.86631576017,2597.747300153,-5043.1671557836,"Canada.KluaneLake.Ruby-MixedTundra","presence"
2067.00745418263,2670.04650386753,1082.09980554845,-4619.09409776684,-5889.7435919285,-5614.82841424193,2184.52930067485,-4674.53220493016,"USA.NorthSlope.16","presence"
3210.18263171974,4227.48622006335,1855.18838710011,-6052.95020700363,-6286.31549590889,-6550.7517133875,3265.73611225613,-5797.24568634104,"USA.YukonKuskokwimDelta.15B2","presence"
1558.44422492535,4163.23675722312,1901.85856775804,-4739.41727340801,-5891.40578561222,-5971.60287204968,2111.5611410224,-4019.72275806892,"Canada.KluaneLake.Outpost-MixedTundra","presence"
2552.4795952405,3396.48590272653,1821.21186029569,-4838.51633101304,-5196.81599812131,-5145.76192973903,2493.06035881285,-4902.53961015964,"USA.YukonKuskokwimDelta.5","presence"
1562.46578356074,728.193175015692,1187.99617222967,-3387.57122613587,-2376.63830541362,-4671.24324475114,1562.46578356074,-3073.02248638599,"nonveg_662","absence"
1973.64595133113,2958.50679437546,1795.0499332475,-5513.0892276733,-5230.05774749817,-5586.44535778519,2051.97136883585,-5297.31512909365,"USA.YukonKuskokwimDelta.15B5","presence"
2516.78298280506,2976.79720790399,1525.2528675806,-5889.33423384077,-5910.63914269742,-6202.75851121346,2571.32369268922,-5737.25714886089,"Norway.Javrresduottar.EC-Sphagnum","presence"
2947.43144585519,4238.3041622706,2168.81564865491,-6036.29436019143,-6622.92979507055,-6687.02522581736,3664.82558476956,-6055.99229316568,"USA.YukonKuskokwimDelta.72B2","presence"
2705.99986188913,3713.14683664772,1003.27844401397,-5458.92216269652,-5782.17360184951,-6171.08252941886,2851.73041964862,-4939.4373701494,"Sweden.Abisko.KJ-MesicHeath","presence"
3149.28817586323,3989.30507275683,1546.26219943047,-6177.5746453887,-6618.92030580379,-6597.34064236375,2705.77696822998,-6381.67629968045,"USA.YukonKuskokwimDelta.15B6","presence"
2908.76781925788,4432.0586765883,2574.10121140983,-6717.4172126775,-6619.41643193107,-6436.06466421227,2883.76745419261,-6861.85274824048,"Canada.BonifaceRiver.AB2","presence"
2907.83105295808,4694.43944087898,2560.26791296259,-6038.10982592988,-6415.51913256253,-6583.30397716989,3254.65901255173,-6245.39125690799,"USA.NorthSlope.Ivotuk1","presence"
1740.37463137536,2263.81672472668,1414.85158507544,-4021.73201237749,-4366.54260688961,-4175.70186091533,1689.5770494157,-3976.59234065252,"Canada.ClearwaterLake.LS1","presence"
798.380236419498,870.08062262605,1759.54731776349,-1896.4671709246,-2131.12561910502,-2047.42521193197,870.08062262605,-1752.40150623788,"nonveg_915","absence"
1049.45621697751,-87.014283443425,474.065899009188,-1333.25776297685,-2323.14922605699,-2476.70986477296,474.065899009188,-1756.44395120306,"nonveg_624","absence"
2687.26149456495,3178.64163486619,1684.19883717594,-4103.14742324522,-4913.05992066495,-5111.8408121572,2573.99189836548,-4182.96112633006,"Russia.Tazovsky.Unburned28","presence"
158.298157252505,845.826134655157,469.989232352184,-1224.63891179744,-863.706018293935,-411.708111357146,469.989232352184,-643.087441902357,"nonveg_1416","absence"
267.537144359024,1525.23028693782,445.441895754613,-2150.3881102425,-2158.00062856034,-873.771878406461,445.441895754613,-1722.065007355,"nonveg_643","absence"
729.535629749461,946.208765974178,351.562566335792,-2176.19182366158,-2088.16542025288,-2107.81353098842,729.535629749461,-1880.54840916395,"nonveg_954","absence"
209.80877128266,732.101475204386,179.177472088239,-1430.95125559636,-1773.70358397022,-926.253159893382,209.80877128266,-1327.44695602516,"nonveg_775","absence"
441.662688540172,198.421006230659,965.285010930989,-2285.76001786831,-1823.7736178566,-2966.40326092547,965.285010930989,-1903.47716825357,"nonveg_913","absence"
2120.12814244565,2303.34774938419,1391.15142902955,-4469.70385094131,-4442.34695980789,-4695.77265747841,1242.45709103799,-4350.55809058984,"Canada.Ivujivik.TP13","presence"
40.9476714802942,-204.293494039201,233.046641086554,-2010.39746271389,-1511.22847417728,-2416.89625630955,230.153740312603,-1838.56440930891,"nonveg_535","absence"
499.671993177272,693.616576926758,39.6157783009677,-1635.93741945514,-1875.15922362115,-2006.05154640847,589.460620578608,-1561.18598572971,"nonveg_869","absence"
743.99468238496,-198.522561172369,1148.31890974434,-696.636412556876,-1671.04024100757,-1690.69475857505,131.562349675239,-999.531234489764,"nonveg_729","absence"
409.735323818487,808.716830263628,-83.7085926714175,-1227.74001906744,-1027.29239251536,-706.646699403231,409.735323818487,-1179.14156340381,"nonveg_912","absence"
2864.61408505539,3290.85245916863,1880.31761896079,-5610.09260082885,-6314.40930883503,-6084.01519060505,3143.96905471601,-5913.88332116745,"Finland.Javrresduottar.A-Sedge","presence"
1558.44422492535,4163.23675722312,1901.85856775804,-4739.41727340801,-5891.40578561222,-5971.60287204968,2111.5611410224,-4019.72275806892,"Canada.KluaneLake.Outpost-MixedTundra","presence"
729.535629749461,946.208765974178,351.562566335792,-2176.19182366158,-2088.16542025288,-2107.81353098842,729.535629749461,-1880.54840916395,"nonveg_954","absence"
1740.37463137536,2263.81672472668,1414.85158507544,-4021.73201237749,-4366.54260688961,-4175.70186091533,1689.5770494157,-3976.59234065252,"Canada.ClearwaterLake.LS1","presence"
486.314516803367,390.999676617733,125.850970849068,-1774.92373522783,-1962.83487206385,-2551.64893186132,486.314516803367,-1881.16818139017,"nonveg_769","absence"
3091.3194361187,4017.97625671682,2209.20049599898,-5648.39247067306,-6382.37863529419,-6495.81406617191,2955.68046601814,-5060.83201807854,"Canada.BonifaceRiver.AB1","presence"
2626.83397129783,3355.97244628007,1909.85544512232,-5786.86944897116,-5841.38311349472,-5704.84509539657,3039.62513820807,-5439.57598723174,"Russia.Yamal.Kharasavey-1","presence"
371.16546705535,665.793464088456,1080.25405950516,-2688.30271513154,-2440.55199132538,-2816.55381259114,804.070756770627,-2270.42634701866,"nonveg_575","absence"
40.9476714802942,-204.293494039201,233.046641086554,-2010.39746271389,-1511.22847417728,-2416.89625630955,230.153740312603,-1838.56440930891,"nonveg_535","absence"
1405.26698825626,2153.7204947088,1092.81844361471,-5167.42514119881,-5276.47251385126,-5627.70126337526,2054.7670157491,-5335.6149744667,"Canada.ChukotkaRiver.TH5","presence"
575.342076038947,1609.35109607591,932.448082535747,-3716.78804564476,-4339.41202009356,-4287.89839707634,1109.88797708173,-3549.0341800624,"nonveg_856","absence"
587.854156241814,696.987832842233,-66.2307481070448,53.6498175953179,-517.085747415179,52.9362026222598,450.039853743784,-380.494046651188,"nonveg_848","absence"
1726.74406695223,2306.17965767211,1745.68464796416,-5150.59110880484,-5907.41348632854,-6473.77647911196,2281.93814818939,-5420.77364084026,"USA.InteriorAlaska.1","presence"
-77.1073990702489,472.814455774724,472.326194348947,-1275.02930086802,-868.011733373385,-962.031034148716,472.326194348947,-838.165647751702,"nonveg_1499","absence"
3404.62057868147,5127.94422334394,2796.25772705915,-6641.43737129546,-7463.08497351002,-7526.36974769121,3558.10292106599,-6199.90135885215,"USA.Kougaork.TallShrub","presence"
-152.070010325482,510.106788481905,362.043086583106,-2454.60443530704,-2943.82004940667,-2856.30839775752,362.043086583106,-2162.13765464092,"nonveg_666","absence"
