"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDMI_changeESPS","spectral_NDVI_annualMedian","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
2437.74419281545,2981.21963922888,1646.41287720496,5888.21449207658,3554.57298029895,-5280.61984499673,-5287.47963384658,-5574.19550408154,1,2587.78915412121,1488.68127600751,-4.49085054027361,5314.39367195216,-5231.06357299605,-5423.66999888592,"Russia.Yamal.Nadym-2-H","presence"
640.059014236707,1185.53457309274,-39.3611818900838,2974.80757764957,70.747086933498,-1675.64892535925,-2346.81036186717,-2208.08923583814,0,640.059014236707,1224.89575498283,-31.5362573397659,2080.25370335262,-2208.08923583814,-1746.04308694292,"nonveg_804","absence"
2014.72744869612,2077.07614862627,1329.31670301321,4157.76380404501,2484.48286311906,-4691.84131200601,-4538.09319977125,-4930.79840418346,0,1825.21382845232,802.406245246251,-107.022216539964,3761.45994245505,-4629.3352131804,-4504.2648681516,"Russia.Yamal.OstrovBelyy-2","presence"
2901.0854670873,3216.49451623697,2057.60833451339,6437.4461934174,4306.11702003147,-5878.73448114339,-5889.54013827609,-6428.5978340702,0,2883.41716372085,917.134614220766,35.3377020064954,5714.80140836898,-6051.98838153537,-5870.38416046409,"Norway.Javrresduottar.EC-Betula","presence"
2664.64662051333,3654.9147128222,2243.92803977127,5256.67372004064,3503.04513271139,-5350.3946565172,-5754.84091518695,-5530.98565593035,0,2858.67357507395,1342.28517526166,23.7720499278459,4641.15505244647,-5584.64087030226,-5260.40500957496,"USA.YukonKuskokwimDelta.U","presence"
2290.87204017889,2367.28497288967,1945.96177121719,5681.46053314809,3556.61763787174,-5729.40972649814,-5591.04393827134,-5795.56396307506,0,2344.61135953456,980.869915776045,-14.3937786739187,4833.5446574378,-5648.11662163561,-5727.16774811433,"Canada.ChukotkaRiver.TH4","presence"
1535.23336536694,1492.01843522546,948.991324693544,4657.53469354824,2647.97314750588,-4138.18053351865,-3388.17116835397,-4166.07948801924,1,1499.92927612734,471.91107305202,-10.1461943663169,4531.13528035568,-3671.55644311568,-3850.0790661343,"Sweden.Abisko.NF-Wetland","presence"
2411.34512728221,2561.49172249486,1606.75864869994,4779.94965674741,2987.79680425098,-4526.45904021913,-4865.68410443173,-5176.06535753963,0,3174.1343688063,856.152328628919,-5.54273955672915,5441.73936346372,-5869.15320743912,-5708.00541885927,"Russia.Tiksi.ShrubTundra","presence"
2416.21231024462,3144.78446503856,2068.58482876476,6257.41695171523,4009.76226393955,-5515.03868836665,-5788.20450675074,-6234.78819630888,1,3135.87902358222,1258.60080914882,6.70130034965949,5987.02103106989,-5710.34386119037,-5682.41651292919,"Russia.Kolyma.T1","presence"
2072.50079434228,3327.98526814535,1645.09589835989,6239.11033900561,2738.63359466891,-5239.33598443047,-4168.08507918778,-5394.75726518528,0,2981.54921917472,2800.11849194409,15.6849008972896,5372.50701390926,-5135.20446551011,-5392.30821707681,"Canada.KluaneLake.Outpost-MixedTundra","presence"
2430.67305377287,3074.64946552871,2362.10340190637,6770.89186781432,4860.31646785185,-5793.69616241869,-5398.75556736488,-5788.99436034677,1,2869.30656903189,1319.67208411146,36.1021915966941,5862.33767592343,-5073.05613294614,-5252.73229216288,"Russia.Yamal.Nadym-1","presence"
