"spectral_EVI2b_earlySummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_EVI2b_annualMedian","spectral_NDMI_changeLSES","spectral_NDVI_annualRange","spectral_SWIR2_annualMean","site_code","presence_absence"
429.045156842181,-108.387463905648,383.868243121543,-931.478783178606,191.925836849278,12.8996559774271,4669.91511185309,100.909178554624,"nonveg_1794","absence"
1979.38063658729,1005.63928701591,-4368.0466629754,-5028.74786399847,1731.03136647958,-112.473499641277,3235.67125591614,1502.27590195473,"USA.NorthSlope.FranklinBluffs-C16","presence"
3230.30235309515,2281.267232115,-6041.80718652141,-6122.29253650967,2977.86031830925,-37.0112950937202,2389.01427170459,1047.92427607825,"Canada.BonifaceRiver.AB2","presence"
3402.69720216458,2706.10401745811,-6603.36552609809,-7091.11858915188,3194.98208699156,-22.8879493450785,2134.76024699563,604.664354240164,"Finland.Kevo.6","presence"
664.896650723858,719.33682829241,-1491.01789575067,-1401.86425947893,664.896650723858,-11.5668695367762,774.565251847708,3509.82312288397,"nonveg_876","absence"
2745.30948708333,1586.24492680525,-5878.62859967607,-5993.44720451474,3068.10302183205,9.54354407683143,4235.97876944424,1459.86414885256,"Russia.Tiksi.WetFen","absence"
-101.851397781918,-37.940748082335,189.138082458983,-862.980233832627,-37.940748082335,946.720956071762,868.391533002963,2181.93088064914,"nonveg_822","absence"
2665.90316344554,1681.55510705477,-5834.78785868661,-5771.3874741275,3062.98786470289,-14.5243845799976,2774.52186581476,1399.54730846972,"Canada.BonifaceRiver.LSA6","presence"
251.472198265988,109.323295047537,-1399.69336273811,-732.953515887621,251.472198265988,-54.3611553198562,614.508888792977,794.507480569806,"nonveg_596","absence"
995.616893863583,790.816663913617,-2194.99715590243,-2550.25212227581,995.616893863583,64.8413507002802,769.751938725534,1870.39842801953,"nonveg_985","absence"
-137.191646022313,191.946203412767,5809.72046965252,-740.811006761027,96.9826763724896,-65.7355964145813,2021.04743119692,446.38631370515,"nonveg_851","absence"
380.995931442456,-650.886482317962,-415.137452197719,801.624976081866,-34.0925569186727,-109.25039769596,1345.87982359081,1508.48792645942,"nonveg_592","absence"
725.542798606806,275.065840486751,-1800.0650843293,-1832.08325056173,494.861697954567,-0.84354666271156,1190.06523203247,3151.66194125639,"nonveg_894","absence"
3596.13620698849,2677.43669229772,-5784.19847860277,-5964.16710088497,3476.76454464361,-31.1051723780254,2258.29096150806,1361.52112115759,"Canada.Yukon.SOUTHSTONEBOY","presence"
763.991358264689,632.083780067273,-1620.626387886,-483.10833044197,632.083780067273,-56.1634937181289,1377.34038587211,2061.07179163115,"nonveg_790","absence"
2335.8981131163,1744.70248979895,-6047.01946829076,-5910.8336409109,3127.89660182765,-1.42888036014561,2607.66903682434,1076.30561703093,"Norway.Javrresduottar.EC-Hummock","presence"
3014.13688692125,2316.52897206316,-5385.98963713373,-6275.02054154987,3125.02493403515,-58.3060914582091,4015.57880547011,1359.37365982187,"Russia.Yamal.VaskinyDachi-1","presence"
3426.86023452103,2555.77081176662,-5834.50011616062,-6417.9509944002,3991.6971494562,-19.4386121478077,2540.70799311248,1210.46145329136,"USA.YukonKuskokwimDelta.72B1","presence"
1348.54467829578,592.154442240042,-4385.54641999572,-5659.86050316436,1398.80342804556,-8.23978160680331,3026.99401193361,167.045970065643,"nonveg_1607","absence"
3643.81731295521,1974.26275047973,-5523.32118955303,-6465.48372596229,3228.83914754226,22.4634590638715,3489.82227544058,832.418143346319,"Sweden.Abisko.NF-SeasonallyFlooded","presence"
1331.07733004145,1199.74726630619,-3104.13687002502,-2918.34587813327,1331.07733004145,-21.9867181902998,803.44093607924,1831.6429490293,"nonveg_996","absence"
2479.91199093735,1681.52148749858,-5014.12057709861,-5497.33237949614,2431.34970021065,-10.2129331441415,1810.98907478251,1472.52111420628,"USA.YukonKuskokwimDelta.5","absence"
2021.62310753051,1202.20132157021,-5735.59816506296,-5994.81587699444,2175.076290901,-17.7914624370204,2544.42097284683,979.516344035765,"Finland.Javrresduottar.EC-Hummock","presence"
2510.13458053161,1678.48948495215,-4899.93712473266,-5453.52077772777,2304.37297052739,-37.9506894234392,1856.96365043499,1568.90958207194,"Canada.PayneLake.TD4","presence"
873.045088346935,360.606601420425,-615.116374519461,-1609.57490454821,737.088692412241,112.670071595687,1321.71492224375,2587.07802364931,"nonveg_866","absence"
3299.70626349155,2256.47805094703,-6097.73082347047,-6563.83617844199,3695.46740284788,18.8485568189361,3242.13059849985,1247.81077970839,"Sweden.Abisko.VJ-DryHeath","presence"
3020.16225607821,2303.6287291741,-6042.42542324354,-6009.25627043045,3502.07055034292,-62.9573308681836,2222.50855929916,1182.94885564456,"USA.YukonKuskokwimDelta.15B4","presence"
176.009439464408,-602.255646089776,-1071.34323728084,-1297.47544378214,-183.889330005484,13.7364625549248,968.068263186738,1846.07407672532,"nonveg_670","absence"
