"mod","ds_type","mc","threshold"
"rf","woody",1,0.6
"rf","woody",2,0.4
"rf","woody",3,0.4
"rf","woody",4,0.25
"rf","woody",5,0.45
"rf","woody",6,0.4
"rf","woody",7,0.65
"rf","woody",8,0.7
"rf","woody",9,0.6
"rf","woody",10,0.5
"rf","woody",11,0.5
"rf","woody",12,0.35
"rf","woody",13,0.55
"rf","woody",14,0.65
"rf","woody",15,0.65
"rf","woody",16,0.65
"rf","woody",17,0.7
"rf","woody",18,0.5
"rf","woody",19,0.65
"rf","woody",20,0.5
"rf","woody",21,0.7
"rf","woody",22,0.75
"rf","woody",23,0.5
"rf","woody",24,0.7
"rf","woody",25,0.6
"rf","woody",26,0.35
"rf","woody",27,0.3
"rf","woody",28,0.7
"rf","woody",29,0.55
"rf","woody",30,0.45
"rf","woody",31,0.65
"rf","woody",32,0.6
"rf","woody",33,0.5
"rf","woody",34,0.45
"rf","woody",35,0.6
"rf","woody",36,0.7
"rf","woody",37,0.65
"rf","woody",38,0.35
"rf","woody",39,0.6
"rf","woody",40,0.55
"rf","woody",41,0.85
"rf","woody",42,0.4
"rf","woody",43,0.55
"rf","woody",44,0.65
"rf","woody",45,0.75
"rf","woody",46,0.4
"rf","woody",47,0.55
"rf","woody",48,0.6
"rf","woody",49,0.45
"rf","woody",50,0.4
"rf","woody",51,0.75
"rf","woody",52,0.7
"rf","woody",53,0.45
"rf","woody",54,0.75
"rf","woody",55,0.55
"rf","woody",56,0.6
"rf","woody",57,0.4
"rf","woody",58,0.4
"rf","woody",59,0.7
"rf","woody",60,0.6
"rf","woody",61,0.55
"rf","woody",62,0.65
"rf","woody",63,0.45
"rf","woody",64,0.5
"rf","woody",65,0.5
"rf","woody",66,0.5
"rf","woody",67,0.75
"rf","woody",68,0.45
"rf","woody",69,0.6
"rf","woody",70,0.8
"rf","woody",71,0.55
"rf","woody",72,0.7
"rf","woody",73,0.55
"rf","woody",74,0.45
"rf","woody",75,0.4
"rf","woody",76,0.6
"rf","woody",77,0.5
"rf","woody",78,0.55
"rf","woody",79,0.65
"rf","woody",80,0.45
"rf","woody",81,0.6
"rf","woody",82,0.55
"rf","woody",83,0.6
"rf","woody",84,0.55
"rf","woody",85,0.8
"rf","woody",86,0.65
"rf","woody",87,0.65
"rf","woody",88,0.7
"rf","woody",89,0.55
"rf","woody",90,0.6
"rf","woody",91,0.55
"rf","woody",92,0.25
"rf","woody",93,0.65
"rf","woody",94,0.5
"rf","woody",95,0.6
"rf","woody",96,0.55
"rf","woody",97,0.45
"rf","woody",98,0.35
"rf","woody",99,0.8
"rf","woody",100,0.35
