"Variable","Importance"
"spectral_NDWI_annualMedian",0.0515326088900791
"spectral_NDWI_earlySummer",0.0394444240443373
"spectral_NDWI_annualMean",0.0393658365402128
"spectral_NDVI_peakSummer",0.0322809332113199
"spectral_NDVI_lateSummer",0.0317891084674862
"spectral_NDVI_annualMedian",0.0258940507489346
"spectral_NDWI_endSnowfree",0.0244735509697606
"spectral_blue_peakSummer",0.0240665411454572
"spectral_NDWI_peakSummer",0.0238269156956345
"spectral_EVI2b_peakSummer",0.0188769379320324
"spectral_NDVI_endSnowfree",0.0160253589067634
"spectral_NDWI_lateSummer",0.0150507820217861
"spectral_EVI2b_lateSummer",0.0143521089174309
"spectral_NIR_startSnowfree",0.0120215692075967
"spectral_NDVI_earlySummer",0.0117665083323589
"spectral_EVI2b_earlySummer",0.0113709516252381
"spectral_NDVI_annualMean",0.0083185763969644
"spectral_EVI2b_annualMean",0.00821221955421996
"spectral_EVI2b_endSnowfree",0.00820603843349595
"spectral_EVI2b_startSnowfree",0.00819675714018392
"spectral_EVI2b_annualMedian",0.00648768105970314
"spectral_red_peakSummer",0.00590699928902869
"spectral_NDWI_annualRange",0.00552362105003099
"spectral_NDVI_startSnowfree",0.0052267518864577
"texture_NDVI_peakSummer",0.00521654522226189
"spectral_NIR_changePSLS",0.00513084414033898
"spectral_NIR_earlySummer",0.00484597805861959
"spectral_NDVI_changeLSES",0.00459624469826823
"spectral_NDMI_changeESPS",0.00360343151040841
"spectral_SWIR2_startSnowfree",0.00354653507487974
"spectral_NDVI_changePSLS",0.00325965296358258
"spectral_NDMI_peakSummer",0.00320820993041135
"spectral_NDMI_annualMedian",0.00311744003907842
"spectral_EVI2b_changePSLS",0.00306264886385264
"spectral_blue_startSnowfree",0.003055649621994
"spectral_blue_annualMean",0.00285621593797583
"spectral_SWIR2_endSnowfree",0.00269447740100572
"spectral_NIR_changeLSES",0.00252755814604938
"spectral_NBR_lateSummer",0.00245622171383928
"spectral_SWIR2_lateSummer",0.00242709223368746
"spectral_SWIR2_changeESPS",0.00242514181322762
"spectral_NDWI_startSnowfree",0.00239331425069425
"spectral_NBR_startSnowfree",0.00227425152039677
"spectral_NIR_peakSummer",0.00227024864836598
"spectral_SWIR2_changeLSES",0.00223214755807883
"spectral_NBR_changeESPS",0.00215969903944301
"spectral_green_changeSSES",0.00202595106050809
"spectral_NDMI_startSnowfree",0.00192418190653984
"spectral_green_lateSummer",0.00161742673724209
"spectral_SWIR1_annualRange",0.00155330738580232
"spectral_blue_changeSSES",0.00145894975367861
"spectral_NIR_changeESPS",0.001395934100596
"spectral_NDMI_changeLSES",0.00139578776291403
"spectral_NDVI_changeESPS",0.00135468959577687
"topo_slope",0.00131509632219341
"spectral_NBR_changePSLS",0.00129989669348831
"spectral_green_changeESPS",0.00127516881758202
"spectral_red_changeLSES",0.00126571183552972
"spectral_NBR_changeSSES",0.00125124803603219
"spectral_NBR_peakSummer",0.00121232729657976
"spectral_green_earlySummer",0.00118904595992121
"spectral_blue_changeESPS",0.00113178206806538
"spectral_EVI2b_changeSSES",0.00110207500296765
"topo_eastness",0.00105999165238621
"spectral_NDWI_changeESPS",0.00105988119616875
"spectral_blue_changeLSES",0.000988916230871966
"topo_northness",0.000953475276767165
"spectral_NDVI_annualRange",0.000864832559979656
"topo_tpi",0.000807943165223055
"spectral_SWIR2_annualRange",0.000747789997694766
"spectral_EVI2b_annualRange",0.000667332157403179
"zone_3_Low.Arctic",0.000112221392135086
"zone_3_Sub.Arctic",9.77095540041144e-05
"trees_presence",9.08176252811248e-05
"zone_3_High.Arctic",2.7630815358056e-05
"zone_3_other",0
"zone_3_Oro.Arctic",-7.36390063424941e-06
