"Variable","Importance"
"topo_eastness",0.000491609977324264
"topo_slope",0.000394471439369399
"topo_cti",0.000333333333333334
"topo_tpi",0.000154195011337869
"spectral_NBR_changeSSES",0.000138321995464853
"spectral_NDMI_changeSSES",9.52380952380953e-05
"zone_3_Low.Arctic",5.71428571428571e-05
"spectral_NIR_changeESPS",1.76870748299319e-05
"spectral_NBR_endSnowfree",5.89569160997732e-06
"spectral_blue_changePSLS",4.91307634164778e-06
"spectral_NIR_changePSLS",3.02343159486018e-06
"spectral_NDMI_changeESPS",1.29575639779721e-06
"spectral_red_changePSLS",6.80272108843533e-07
"permafrost_index",0
"spectral_EVI2b_earlySummer",0
"spectral_EVI2b_endSnowfree",0
"spectral_EVI2b_lateSummer",0
"spectral_EVI2b_peakSummer",0
"spectral_EVI2b_startSnowfree",0
"spectral_NBR_earlySummer",0
"spectral_NBR_lateSummer",0
"spectral_NBR_peakSummer",0
"spectral_NBR_startSnowfree",0
"spectral_NDMI_endSnowfree",0
"spectral_NDMI_lateSummer",0
"spectral_NDMI_peakSummer",0
"spectral_NDVI_earlySummer",0
"spectral_NDVI_endSnowfree",0
"spectral_NDVI_lateSummer",0
"spectral_NDVI_peakSummer",0
"spectral_NDVI_startSnowfree",0
"spectral_NDWI_earlySummer",0
"spectral_NDWI_endSnowfree",0
"spectral_NDWI_lateSummer",0
"spectral_NDWI_peakSummer",0
"spectral_NDWI_startSnowfree",0
"spectral_NIR_earlySummer",0
"spectral_NIR_lateSummer",0
"spectral_NIR_peakSummer",0
"spectral_SWIR2_endSnowfree",0
"spectral_SWIR2_lateSummer",0
"spectral_blue_earlySummer",0
"spectral_blue_peakSummer",0
"spectral_blue_startSnowfree",0
"spectral_green_earlySummer",0
"spectral_green_endSnowfree",0
"spectral_green_lateSummer",0
"spectral_green_startSnowfree",0
"texture_NDVI_peakSummer",0
"trees_presence",0
"spectral_EVI2b_annualMedian",0
"spectral_EVI2b_annualMean",0
"spectral_EVI2b_annualRange",0
"spectral_EVI2b_changeSSES",0
"spectral_EVI2b_changeESPS",0
"spectral_EVI2b_changePSLS",0
"spectral_NBR_annualMedian",0
"spectral_NBR_annualMean",0
"spectral_NBR_changeESPS",0
"spectral_NBR_changePSLS",0
"spectral_NDVI_annualMedian",0
"spectral_NDVI_annualMean",0
"spectral_NDVI_annualRange",0
"spectral_NDVI_changeLSES",0
"spectral_NDWI_annualMedian",0
"spectral_NDWI_annualMean",0
"spectral_NDWI_annualRange",0
"spectral_NDWI_changeLSES",0
"spectral_SWIR1_changeLSES",0
"spectral_blue_annualMean",0
"spectral_green_changePSLS",0
"spectral_green_changeLSES",0
"spectral_red_changeLSES",0
"zone_3_High.Arctic",0
"zone_3_Sub.Arctic",0
"zone_3_Oro.Arctic",0
"zone_3_other",0
