"Variable","Importance"
"trees_presence",0.00271729957805907
"spectral_red_changeLSES",0.000701024713682941
"spectral_EVI2b_earlySummer",0
"spectral_EVI2b_endSnowfree",0
"spectral_EVI2b_peakSummer",0
"spectral_EVI2b_startSnowfree",0
"spectral_NDVI_endSnowfree",0
"spectral_NDWI_earlySummer",0
"spectral_NDWI_lateSummer",0
"spectral_NDWI_peakSummer",0
"spectral_NDWI_startSnowfree",0
"spectral_green_lateSummer",0
"texture_NDVI_peakSummer",0
"spectral_EVI2b_annualRange",0
"spectral_NDWI_annualMedian",0
