"Variable","Importance"
"zone_3_Sub.Arctic",133817.370205478
"spectral_NDVI_annualRange",121605.054992826
"permafrost_index",103906.742680641
"spectral_red_peakSummer",88618.2253138821
"spectral_NDMI_annualMedian",55371.6736101588
"spectral_NBR_changeESPS",35452.9073761618
"texture_NDVI_peakSummer",29951.4325663159
"zone_3_Low.Arctic",11113.1932702114
"world_terrestrial_ecosystems_X53",10803.1453953502
"zone_3_High.Arctic",10270.5602019088
"zone_3_Oro.Arctic",9765.74687262887
"world_terrestrial_ecosystems_X5",8466.75723962794
"world_terrestrial_ecosystems_X49",6559.64535822898
"world_terrestrial_ecosystems_X10",3242.67409356217
"world_terrestrial_ecosystems_X51",2988.91463926648
"world_terrestrial_ecosystems_X16",2572.98254403786
"world_terrestrial_ecosystems_X52",2443.30054511194
"world_terrestrial_ecosystems_X45",2326.95670333918
"world_terrestrial_ecosystems_X50",2083.05900523163
"world_terrestrial_ecosystems_X55",1812.23551694984
"world_terrestrial_ecosystems_X63",1563.73013775206
"world_terrestrial_ecosystems_X56",1446.69263722338
"world_terrestrial_ecosystems_X14",1197.74378626046
"world_terrestrial_ecosystems_X47",1012.09040004552
"world_terrestrial_ecosystems_X12",880.100679695715
"world_terrestrial_ecosystems_X25",719.124761773237
"world_terrestrial_ecosystems_X58",690.96694246966
"world_terrestrial_ecosystems_X1",521.199678043187
"world_terrestrial_ecosystems_X90",193.696689607946
"world_terrestrial_ecosystems_X68",182.593855290517
"world_terrestrial_ecosystems_X54",159.709457626394
"world_terrestrial_ecosystems_X46",129.735870440486
"world_terrestrial_ecosystems_X66",125.754167573145
"world_terrestrial_ecosystems_X75",107.123256976883
"world_terrestrial_ecosystems_X48",106.012244616887
"world_terrestrial_ecosystems_X70",70.8190332342785
"world_terrestrial_ecosystems_X57",54.6853500943479
"world_terrestrial_ecosystems_X4",30.189589012119
"world_terrestrial_ecosystems_X78",22.1127615740678
"world_terrestrial_ecosystems_X59",21.2633898246401
"world_terrestrial_ecosystems_X88",14.6865770051739
"world_terrestrial_ecosystems_X98",2.7927676523056
"world_terrestrial_ecosystems_X7",0.00229765352234244
"zone_3_other",0
"world_terrestrial_ecosystems_X29",0
"world_terrestrial_ecosystems_X27",0
"world_terrestrial_ecosystems_X18",0
"world_terrestrial_ecosystems_X22",0
"world_terrestrial_ecosystems_X19",0
"world_terrestrial_ecosystems_X36",0
"world_terrestrial_ecosystems_X43",0
"world_terrestrial_ecosystems_X74",0
"world_terrestrial_ecosystems_X89",0
"world_terrestrial_ecosystems_X31",0
"world_terrestrial_ecosystems_X11",0
"world_terrestrial_ecosystems_X34",0
"world_terrestrial_ecosystems_X115",0
"world_terrestrial_ecosystems_X111",0
"world_terrestrial_ecosystems_other",0
"world_terrestrial_ecosystems_X72",-3695.8641869768
