"Variable","Importance"
"spectral_NDVI_annualMedian",297193.065697369
"spectral_NDVI_peakSummer",189626.766244677
"spectral_NDVI_lateSummer",79439.2153552044
"spectral_NDVI_annualMean",75760.5136057183
"spectral_SWIR1_annualMedian",40509.1207668316
"spectral_NIR_lateSummer",36445.041307964
"spectral_red_peakSummer",14740.485147425
"spectral_red_annualMean",13682.1464149415
"spectral_NDVI_startSnowfree",12038.1463626016
"spectral_EVI2b_changeSSES",8706.91857207791
"spectral_NIR_earlySummer",8331.86519520193
"spectral_blue_changePSLS",8228.23425718525
"spectral_red_earlySummer",7525.4931871317
"spectral_NDMI_changeSSES",7012.93518792978
"spectral_NBR_changeSSES",6727.40828825294
"spectral_NDWI_changeSSES",6126.94437394381
"spectral_EVI2b_changePSLS",6120.47226674241
"topo_eastness",6080.73984256632
"texture_NDVI_peakSummer",5722.92586994679
"spectral_NBR_changePSLS",5679.9233951098
"latitude",5204.83146546848
"permafrost_index",5055.22045743409
"spectral_NDWI_changeESPS",4878.74285733987
"spectral_NDVI_changePSLS",4824.76585929172
"spectral_NDMI_changePSLS",4718.39297791935
"spectral_EVI2b_startSnowfree",4269.89805499757
"longitude",4190.41709631876
"spectral_NDVI_changeSSES",4138.25652801824
"topo_dem",4043.2044382748
"spectral_NDMI_endSnowfree",3838.03478946261
"spectral_NDMI_startSnowfree",3112.52335539533
"spectral_blue_peakSummer",3053.95791045736
"spectral_NDWI_changePSLS",2957.39586268955
"spectral_NDVI_annualRange",2581.74910107055
"topo_cti",2082.27323236231
"spectral_NIR_annualRange",1904.92733427901
"zone_3_Sub.Arctic",1866.65122177503
"spectral_SWIR2_annualRange",1841.61232131473
"trees_presence",1718.0450791102
"spectral_NBR_annualRange",1604.22534489246
"spectral_NDMI_annualRange",1370.45881999489
"spectral_NDMI_earlySummer",1309.41064700848
"spectral_red_changeLSES",1290.42170595459
"spectral_NDWI_annualRange",1248.34955567374
"spectral_SWIR2_changeLSES",1246.54644746045
"topo_tpi",1087.44104179954
"spectral_red_annualRange",1033.35284744906
"world_terrestrial_ecosystems_X68",1026.9420247994
"spectral_EVI2b_annualRange",1008.26044775692
"spectral_NDMI_peakSummer",1003.64354853625
"spectral_SWIR1_changeSSES",1002.10945591418
"spectral_EVI2b_changeLSES",915.157256243639
"spectral_SWIR2_changeSSES",855.410742056201
"spectral_NBR_changeESPS",775.284170964698
"spectral_EVI2b_changeESPS",768.083259100945
"spectral_NDVI_changeLSES",731.131466304194
"spectral_NIR_changeLSES",666.27507936318
"world_terrestrial_ecosystems_X55",651.342489129609
"topo_northness",644.566308522355
"spectral_SWIR1_annualRange",641.10478199573
"spectral_SWIR2_changePSLS",608.725057739538
"spectral_NDMI_lateSummer",425.867814121444
"spectral_NDMI_changeLSES",418.609270187224
"spectral_red_changePSLS",416.886928072422
"spectral_NDWI_changeLSES",390.565184688688
"spectral_blue_annualRange",379.455160055318
"spectral_SWIR2_changeESPS",342.864675275969
"world_terrestrial_ecosystems_X16",327.167893947226
"world_terrestrial_ecosystems_X50",291.127408764827
"world_terrestrial_ecosystems_X54",203.793144158387
"spectral_NBR_changeLSES",200.498997294473
"spectral_red_changeESPS",116.998479256345
"spectral_green_changeESPS",95.0773248369702
"spectral_blue_changeSSES",92.1495420105027
"zone_3_High.Arctic",58.2557264940152
"world_terrestrial_ecosystems_X45",53.9723035251553
"zone_3_Low.Arctic",50.973686070684
"world_terrestrial_ecosystems_X52",46.5636928715055
"world_terrestrial_ecosystems_X51",19.4866226906625
"world_terrestrial_ecosystems_X75",18.9627856014327
"world_terrestrial_ecosystems_X49",12.2387200616121
"zone_3_Oro.Arctic",5.51610249573059
"zone_3_other",0
"world_terrestrial_ecosystems_X47",0
"world_terrestrial_ecosystems_X5",0
"world_terrestrial_ecosystems_X29",0
"world_terrestrial_ecosystems_X1",0
"world_terrestrial_ecosystems_X57",0
"world_terrestrial_ecosystems_X59",0
"world_terrestrial_ecosystems_X56",0
"world_terrestrial_ecosystems_X10",0
"world_terrestrial_ecosystems_X25",0
"world_terrestrial_ecosystems_X18",0
"world_terrestrial_ecosystems_X92",0
"world_terrestrial_ecosystems_X89",0
"world_terrestrial_ecosystems_X88",0
"world_terrestrial_ecosystems_X63",0
"world_terrestrial_ecosystems_X58",0
"world_terrestrial_ecosystems_X22",0
"world_terrestrial_ecosystems_X19",0
"world_terrestrial_ecosystems_X72",0
"world_terrestrial_ecosystems_X46",0
"world_terrestrial_ecosystems_X12",0
"world_terrestrial_ecosystems_X43",0
"world_terrestrial_ecosystems_X74",0
"world_terrestrial_ecosystems_X48",0
"world_terrestrial_ecosystems_X70",0
"world_terrestrial_ecosystems_X78",0
"world_terrestrial_ecosystems_X14",0
"world_terrestrial_ecosystems_X31",0
"world_terrestrial_ecosystems_X11",0
"world_terrestrial_ecosystems_X98",0
"world_terrestrial_ecosystems_X34",0
"world_terrestrial_ecosystems_X115",0
"world_terrestrial_ecosystems_X111",0
"world_terrestrial_ecosystems_X27",0
"world_terrestrial_ecosystems_X4",0
"world_terrestrial_ecosystems_X7",0
"world_terrestrial_ecosystems_other",0
"world_terrestrial_ecosystems_X66",-0.0327139644844574
"spectral_blue_changeESPS",-13.7336056540453
"world_terrestrial_ecosystems_X90",-111.380705763429
"spectral_blue_changeLSES",-149.107828134543
"world_terrestrial_ecosystems_X53",-500.967236176
"spectral_blue_startSnowfree",-718.542959928765
