"Variable","Importance"
"zone_3_Sub.Arctic",24.9809122885706
"trees_presence",12.6364267158529
"topo_northness",7.04361847370874
"permafrost_index",2.60088376316453
"topo_eastness",1.95118107855108
"world_terrestrial_ecosystems_X16",1.70420645048074
"zone_3_Low.Arctic",1.10811466131752
"world_terrestrial_ecosystems_X50",0.93276192669009
"spectral_blue_changeSSES",0.914924849636406
"spectral_SWIR2_changeSSES",0.712403492063492
"topo_slope",0.513134059506631
"spectral_red_changeLSES",0.43824505424734
"world_terrestrial_ecosystems_X10",0.366773409523809
"world_terrestrial_ecosystems_X45",0.194012350718065
"world_terrestrial_ecosystems_X49",0.192514546938775
"world_terrestrial_ecosystems_X90",0.181981911564626
"world_terrestrial_ecosystems_X63",0.107911275510204
"topo_cti",0.0894083937236862
"topo_dem",0.0674283165220113
"world_terrestrial_ecosystems_X72",0.0478469387755102
"zone_3_Oro.Arctic",0.0418904182413703
"zone_3_High.Arctic",0.0397389387755102
"world_terrestrial_ecosystems_X55",0.0361322146636432
"spectral_NDMI_changeSSES",0.0242737889412175
"spectral_blue_changePSLS",0.0186443537414965
"spectral_blue_changeLSES",0.0166575253212395
"spectral_red_changeSSES",0.0132702040816327
"spectral_NBR_changePSLS",0.0103568843537415
"texture_NDVI_peakSummer",0.0101598885109599
"world_terrestrial_ecosystems_X66",0.00759047619047621
"spectral_red_changeESPS",0.00560880903928524
"spectral_green_changeESPS",0.00474180684923539
"world_terrestrial_ecosystems_X57",0.00356866031746022
"spectral_blue_changeESPS",0.00356091090567283
"spectral_NIR_changeSSES",0.00283961391574181
"world_terrestrial_ecosystems_X68",0.00198995464852609
"spectral_NBR_changeESPS",0.00113206349206353
"world_terrestrial_ecosystems_X12",0.00111422935841004
"spectral_NIR_changeLSES",0.00110585034013606
"spectral_NDVI_changeSSES",0.000637260770975056
"world_terrestrial_ecosystems_X14",0.000356326530612249
"spectral_NDWI_changeLSES",0.000109985252842359
"spectral_NDWI_changeESPS",5.05215419500859e-05
"spectral_EVI2b_endSnowfree",0
"spectral_EVI2b_lateSummer",0
"spectral_EVI2b_peakSummer",0
"spectral_EVI2b_startSnowfree",0
"spectral_NDMI_endSnowfree",0
"spectral_NDMI_peakSummer",0
"spectral_NDVI_earlySummer",0
"spectral_NDVI_endSnowfree",0
"spectral_NDVI_lateSummer",0
"spectral_NDVI_peakSummer",0
"spectral_NDVI_startSnowfree",0
"spectral_NDWI_peakSummer",0
"spectral_NIR_endSnowfree",0
"spectral_SWIR1_startSnowfree",0
"spectral_SWIR2_startSnowfree",0
"spectral_blue_earlySummer",0
"spectral_blue_lateSummer",0
"spectral_green_lateSummer",0
"spectral_red_lateSummer",0
"spectral_red_peakSummer",0
"spectral_EVI2b_annualMedian",0
"spectral_EVI2b_annualMean",0
"spectral_EVI2b_annualRange",0
"spectral_EVI2b_changeSSES",0
"spectral_EVI2b_changePSLS",0
"spectral_NBR_annualRange",0
"spectral_NDMI_annualMedian",0
"spectral_NDMI_annualMean",0
"spectral_NDMI_annualRange",0
"spectral_NDMI_changeESPS",0
"spectral_NDMI_changePSLS",0
"spectral_NDMI_changeLSES",0
"spectral_NDVI_annualMedian",0
"spectral_NDVI_annualMean",0
"spectral_NDVI_annualRange",0
"spectral_NDVI_changeESPS",0
"spectral_NDVI_changePSLS",0
"spectral_NDWI_annualRange",0
"spectral_NDWI_changeSSES",0
"spectral_SWIR1_annualMean",0
"spectral_SWIR1_changeSSES",0
"spectral_SWIR2_annualRange",0
"spectral_SWIR2_changeLSES",0
"spectral_red_annualRange",0
"longitude",0
"latitude",0
"zone_3_other",0
"world_terrestrial_ecosystems_X47",0
"world_terrestrial_ecosystems_X5",0
"world_terrestrial_ecosystems_X29",0
"world_terrestrial_ecosystems_X27",0
"world_terrestrial_ecosystems_X1",0
"world_terrestrial_ecosystems_X59",0
"world_terrestrial_ecosystems_X56",0
"world_terrestrial_ecosystems_X51",0
"world_terrestrial_ecosystems_X25",0
"world_terrestrial_ecosystems_X18",0
"world_terrestrial_ecosystems_X54",0
"world_terrestrial_ecosystems_X53",0
"world_terrestrial_ecosystems_X58",0
"world_terrestrial_ecosystems_X52",0
"world_terrestrial_ecosystems_X22",0
"world_terrestrial_ecosystems_X19",0
"world_terrestrial_ecosystems_X75",0
"world_terrestrial_ecosystems_X46",0
"world_terrestrial_ecosystems_X36",0
"world_terrestrial_ecosystems_X43",0
"world_terrestrial_ecosystems_X74",0
"world_terrestrial_ecosystems_X89",0
"world_terrestrial_ecosystems_X70",0
"world_terrestrial_ecosystems_X78",0
"world_terrestrial_ecosystems_X88",0
"world_terrestrial_ecosystems_X31",0
"world_terrestrial_ecosystems_X48",0
"world_terrestrial_ecosystems_X11",0
"world_terrestrial_ecosystems_X98",0
"world_terrestrial_ecosystems_X34",0
"world_terrestrial_ecosystems_X115",0
"world_terrestrial_ecosystems_X111",0
"world_terrestrial_ecosystems_X4",0
"world_terrestrial_ecosystems_X7",0
"world_terrestrial_ecosystems_other",0
