"Variable","Importance"
"trees_presence",38.2195945088909
"zone_3_Sub.Arctic",22.7681944841889
"world_terrestrial_ecosystems_X16",2.87530025049729
"world_terrestrial_ecosystems_X53",1.63581502742616
"world_terrestrial_ecosystems_X50",1.44679335012892
"topo_northness",0.651525163096907
"topo_tpi",0.579902051898735
"topo_slope",0.542703442100327
"world_terrestrial_ecosystems_X55",0.506440456399434
"topo_cti",0.476724898734178
"spectral_SWIR2_changeSSES",0.314364070979837
"permafrost_index",0.265259453586498
"spectral_SWIR2_changeESPS",0.22785189320876
"zone_3_Low.Arctic",0.225074180831826
"spectral_SWIR1_changeESPS",0.169430143459915
"zone_3_High.Arctic",0.165660397629094
"world_terrestrial_ecosystems_X63",0.104313139240506
"world_terrestrial_ecosystems_X49",0.0704972151898729
"spectral_red_changeESPS",0.0605284506563528
"spectral_red_changeLSES",0.0517650632911392
"spectral_NDWI_changeESPS",0.0394140646976082
"world_terrestrial_ecosystems_X54",0.0391030253164558
"world_terrestrial_ecosystems_X66",0.0388829221753397
"spectral_SWIR1_changeSSES",0.0279779997990757
"zone_3_Oro.Arctic",0.0183586497890295
"spectral_NBR_changeSSES",0.0068493670886076
"spectral_SWIR1_changePSLS",0.00463634317862171
"spectral_red_changePSLS",0.00277547538677899
"world_terrestrial_ecosystems_X57",0.00227654683544301
"spectral_green_changePSLS",0.00127436075949367
"world_terrestrial_ecosystems_X68",0.00112472573839662
"spectral_NIR_changeLSES",0.000824219409282647
"world_terrestrial_ecosystems_X14",0.000726615506329225
"spectral_NDMI_changeLSES",0.000344774964838243
"spectral_EVI2b_changeSSES",6.40189873417957e-05
"spectral_EVI2b_peakSummer",0
"spectral_EVI2b_startSnowfree",0
"spectral_NBR_startSnowfree",0
"spectral_NDMI_earlySummer",0
"spectral_NDMI_endSnowfree",0
"spectral_NDMI_peakSummer",0
"spectral_NDVI_earlySummer",0
"spectral_NDVI_endSnowfree",0
"spectral_NDVI_peakSummer",0
"spectral_NDVI_startSnowfree",0
"spectral_NIR_endSnowfree",0
"spectral_SWIR1_earlySummer",0
"spectral_SWIR1_endSnowfree",0
"spectral_SWIR1_lateSummer",0
"spectral_blue_lateSummer",0
"spectral_blue_startSnowfree",0
"spectral_red_lateSummer",0
"texture_NDVI_peakSummer",0
"topo_dem",0
"spectral_EVI2b_annualRange",0
"spectral_EVI2b_changeESPS",0
"spectral_EVI2b_changeLSES",0
"spectral_NBR_annualRange",0
"spectral_NBR_changeESPS",0
"spectral_NBR_changeLSES",0
"spectral_NDMI_annualMedian",0
"spectral_NDMI_annualRange",0
"spectral_NDMI_changeSSES",0
"spectral_NDMI_changeESPS",0
"spectral_NDMI_changePSLS",0
"spectral_NDVI_annualMedian",0
"spectral_NDVI_annualRange",0
"spectral_NDVI_changeSSES",0
"spectral_NDVI_changeLSES",0
"spectral_NDWI_annualRange",0
"spectral_NDWI_changeSSES",0
"spectral_NDWI_changePSLS",0
"spectral_NDWI_changeLSES",0
"spectral_NIR_annualRange",0
"spectral_NIR_changeSSES",0
"spectral_NIR_changeESPS",0
"spectral_SWIR1_annualMedian",0
"spectral_SWIR1_annualRange",0
"spectral_SWIR1_changeLSES",0
"spectral_SWIR2_annualRange",0
"spectral_SWIR2_changeLSES",0
"spectral_blue_annualRange",0
"spectral_blue_changeLSES",0
"spectral_red_annualMean",0
"spectral_red_annualRange",0
"latitude",0
"zone_3_other",0
"world_terrestrial_ecosystems_X47",0
"world_terrestrial_ecosystems_X5",0
"world_terrestrial_ecosystems_X29",0
"world_terrestrial_ecosystems_X1",0
"world_terrestrial_ecosystems_X27",0
"world_terrestrial_ecosystems_X59",0
"world_terrestrial_ecosystems_X45",0
"world_terrestrial_ecosystems_X56",0
"world_terrestrial_ecosystems_X51",0
"world_terrestrial_ecosystems_X10",0
"world_terrestrial_ecosystems_X25",0
"world_terrestrial_ecosystems_X18",0
"world_terrestrial_ecosystems_X92",0
"world_terrestrial_ecosystems_X90",0
"world_terrestrial_ecosystems_X89",0
"world_terrestrial_ecosystems_X88",0
"world_terrestrial_ecosystems_X58",0
"world_terrestrial_ecosystems_X52",0
"world_terrestrial_ecosystems_X22",0
"world_terrestrial_ecosystems_X19",0
"world_terrestrial_ecosystems_X75",0
"world_terrestrial_ecosystems_X72",0
"world_terrestrial_ecosystems_X46",0
"world_terrestrial_ecosystems_X12",0
"world_terrestrial_ecosystems_X36",0
"world_terrestrial_ecosystems_X43",0
"world_terrestrial_ecosystems_X74",0
"world_terrestrial_ecosystems_X48",0
"world_terrestrial_ecosystems_X70",0
"world_terrestrial_ecosystems_X78",0
"world_terrestrial_ecosystems_X31",0
"world_terrestrial_ecosystems_X11",0
"world_terrestrial_ecosystems_X98",0
"world_terrestrial_ecosystems_X34",0
"world_terrestrial_ecosystems_X115",0
"world_terrestrial_ecosystems_X111",0
"world_terrestrial_ecosystems_X4",0
"world_terrestrial_ecosystems_X7",0
"world_terrestrial_ecosystems_other",0
