"ds_type","response_type","importance_type","Variable","Importance_avg","n","Importance_proportion"
"Plant","Classification","Permutation","spectral_NDWI_endSnowfree",0.049763525317211,91,0.91
"Plant","Classification","Permutation","spectral_EVI2b_lateSummer",0.0396114300291473,80,0.8
"Plant","Classification","Permutation","spectral_NDWI_annualMean",0.035871294695876,67,0.67
"Plant","Classification","Permutation","spectral_NDWI_lateSummer",0.0358530872368944,76,0.76
"Plant","Classification","Permutation","spectral_NDWI_peakSummer",0.0339717726500502,79,0.79
"Plant","Classification","Permutation","spectral_NDWI_annualMedian",0.0328176195211455,64,0.64
"Plant","Classification","Permutation","spectral_EVI2b_peakSummer",0.0306922090587519,76,0.76
"Plant","Classification","Permutation","spectral_NDWI_earlySummer",0.0297674477917676,69,0.69
"Plant","Classification","Permutation","spectral_EVI2b_annualMedian",0.0289918827105062,66,0.66
"Plant","Classification","Permutation","spectral_EVI2b_endSnowfree",0.0206141734635238,88,0.88
"Plant","Classification","SHAP","trees_presence",0.000716462702158277,68,0.68
"Plant","Classification","SHAP","bioclimate zone",0.000572475522493981,40,0.4
"Plant","Classification","SHAP","topo_eastness",0.000135660354606581,32,0.32
"Plant","Classification","SHAP","topo_northness",8.84760057432871e-05,11,0.11
"Plant","Classification","SHAP","spectral_EVI2b_changeSSES",8.42602026884375e-05,45,0.45
"Plant","Classification","SHAP","topo_slope",3.78045902639741e-05,45,0.45
"Plant","Classification","SHAP","permafrost_index",3.57603930461073e-05,14,0.14
"Plant","Classification","SHAP","topo_tpi",2.81133591211271e-05,22,0.22
"Plant","Classification","SHAP","topo_cti",2.42701472123241e-05,9,0.09
"Plant","Classification","SHAP","spectral_NIR_changeSSES",1.42662239498974e-05,12,0.12
"Plant","Regression","Permutation","spectral_NDVI_earlySummer",372.673326493583,80,0.8
"Plant","Regression","Permutation","spectral_NDVI_lateSummer",328.58736631935,72,0.72
"Plant","Regression","Permutation","spectral_NDVI_peakSummer",316.974032879462,80,0.8
"Plant","Regression","Permutation","spectral_NDVI_annualMedian",256.950466257017,56,0.56
"Plant","Regression","Permutation","spectral_NDVI_endSnowfree",236.476055742056,65,0.65
"Plant","Regression","Permutation","spectral_NDVI_annualMean",210.475064116839,45,0.45
"Plant","Regression","Permutation","trees_presence",186.087388609641,86,0.86
"Plant","Regression","Permutation","spectral_EVI2b_annualRange",172.784715353198,93,0.93
"Plant","Regression","Permutation","bioclimate zone",172.373173460496,99,0.99
