system:index,total_biomass_g_mean,total_biomass_g_sum,total_biomass_lwr_g_mean,total_biomass_lwr_g_sum,total_biomass_upr_g_mean,total_biomass_upr_g_sum,veg_code,veg_desc,woody_biomass_g_mean,woody_biomass_g_sum,woody_biomass_lwr_g_mean,woody_biomass_lwr_g_sum,woody_biomass_upr_g_mean,woody_biomass_upr_g_sum,woody_percent_mean,woody_percent_sum,woody_percent_vegetated_mean,woody_percent_vegetated_sum,.geo
0,18212.14652372597,8.8875147915E12,9025.791828814312,4.4246527785E12,33317.30988122809,1.63329190983E13,1,"Cryptogam, herb barren",6935.163245744016,3.3848727273E12,3182.2335523807274,1.5531653952E12,22205.269156122602,1.0837814094E13,1.6244033194437042,7.927453868316517E8,25.168538493964682,7.927453868316517E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,76052.89682121018,3.95158459824E13,36102.21827483637,1.87655870556E13,156172.35494218886,8.11768933431E13,2,"Cryptogam, barren complex ",25534.757198056104,1.32677562456E13,11953.505959726095,6.2109932013E12,94387.66542890425,4.90434480261E13,9.223260461567726,4.792286408686539E9,25.592007614590624,4.792286408686539E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,46694.74045618749,7.7224839948E12,24839.88931076942,4.1324267313E12,81513.60924995813,1.35608099382E13,3,Non-carbonate mountain complex,21917.230028404636,3.6247267116E12,11007.241918960008,1.8204053958E12,54429.237142651094,9.0016443459E12,5.973891083855246,9.880293973571491E8,36.55327917950353,9.880293973571491E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,35994.56598925998,8.407629081E11,19174.26486528434,4.499329644E11,63093.795838914055,1.4805250056E12,4,Carbonate mountain complex,15464.057340019535,3.612180339E11,7556.736219342335,1.765144386E11,39061.8398355549,9.124281342E11,4.318375648602019,1.008738997734642E8,33.453030363068976,1.008738997734642E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,287979.25589314225,3.86979946623E13,172798.70867058256,2.32217948277E13,484448.3230307152,6.51032617581E13,5,"Cryptogam, barren, dwarf-shrub complex",155380.44869886982,2.08796873652E13,80215.97592858864,1.07792486964E13,480255.4697054973,6.45356873844E13,43.13937906872747,5.797069845534356E9,49.83299396273594,5.797069845534356E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,107433.70207143639,1.19285412066E13,49755.965395034276,5.5263986091E12,207920.019027448,2.30936912757E13,21,"Graminoid, forb, cryptogam tundra ",33660.29304439303,3.7374356988E12,15207.73194961736,1.6885747314E12,136440.33087822265,1.5149510514E13,10.87500496742021,1.2075150179365416E9,23.202792069877017,1.2075150179365416E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,207094.77275231542,5.97446210547E13,112525.50480269796,3.24732761019E13,355249.03576480126,1.025198691048E14,22,"Graminoid, prostrate dwarf-shrub, forb, moss tundra",82658.6699564671,2.38467727683E13,40404.80337376758,1.16566618518E13,289640.7164751384,8.3560458375E13,22.65678631868062,6.536398728291758E9,31.468778000547566,6.536398728291758E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,419081.8824008442,3.25944064998E14,258434.9187166228,2.01083645259E14,657603.36495404,5.116695623649E14,23,"Non-tussock sedge, dwarf-shrub, moss tundra",225058.66624294277,1.750411812906E14,116955.4747943748,9.09630578025E13,545412.8162960979,4.241991888126E14,43.82277794925097,3.411890609304201E10,47.20920727089657,3.411890609304201E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,456207.73207833833,1.850307420276E14,284352.94570602797,1.154022257304E14,721919.9951858546,2.929850930043E14,24,"Tussock-sedge, dwarf-shrub, moss tundra",254271.7506581913,1.03128896223E14,136608.97207733692,5.54065973433E13,564827.6555964927,2.290858206903E14,48.54566535084421,1.9709478139628098E10,50.90956791295615,1.9709478139628098E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,88880.37400082125,4.8286044072E13,47933.84286050094,2.61011148597E13,156951.99829151982,8.54640873837E13,31,"Prostrate dwarf-shrub, herb, lichen tundra",38997.88980283707,2.11872149892E13,19222.340662321534,1.04433308127E13,107234.56951738999,5.82596107155E13,10.407485672705798,5.65482596413422E9,31.964870301552754,5.65482596413422E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
