system:index,elevation,plant_biomass_gm2,.geo
0,392.03192138671875,0,"{""type"":""Point"",""coordinates"":[66.88106906058376,68.18295863975267]}"
1,269.7567138671875,1280,"{""type"":""Point"",""coordinates"":[66.86774106143918,68.17486316011299]}"
2,412.38909912109375,0,"{""type"":""Point"",""coordinates"":[66.88286108584478,68.18404660579512]}"
3,355.1602478027344,732,"{""type"":""Point"",""coordinates"":[66.87765381180542,68.18088485041207]}"
4,234.58631896972656,1489,"{""type"":""Point"",""coordinates"":[66.86334005356095,68.17218848021183]}"
5,384.8533630371094,0,"{""type"":""Point"",""coordinates"":[66.8802884816309,68.18248469996963]}"
6,210.35752868652344,1821,"{""type"":""Point"",""coordinates"":[66.86026480005592,68.1703190783266]}"
7,461.1537170410156,0,"{""type"":""Point"",""coordinates"":[66.8845617176854,68.18507897215967]}"
8,224.624267578125,1432,"{""type"":""Point"",""coordinates"":[66.8621840358358,68.17148579625362]}"
9,412.38909912109375,0,"{""type"":""Point"",""coordinates"":[66.88250088561904,68.18382793255013]}"
10,509.3865966796875,0,"{""type"":""Point"",""coordinates"":[66.88739887824502,68.18680102121643]}"
11,461.1537170410156,0,"{""type"":""Point"",""coordinates"":[66.88452164556263,68.18505464769875]}"
12,267.17431640625,1351,"{""type"":""Point"",""coordinates"":[66.86744364684117,68.17468243191549]}"
13,324.1705322265625,805,"{""type"":""Point"",""coordinates"":[66.87447000637783,68.17895119583945]}"
14,213.6371612548828,1388,"{""type"":""Point"",""coordinates"":[66.86053640162262,68.17048419552434]}"
15,361.312255859375,629,"{""type"":""Point"",""coordinates"":[66.87814167741475,68.18118111685105]}"
16,218.9850311279297,1356,"{""type"":""Point"",""coordinates"":[66.86137964558831,68.1709968184876]}"
17,355.1602478027344,732,"{""type"":""Point"",""coordinates"":[66.87750483127851,68.18079437710779]}"
18,505.74224853515625,0,"{""type"":""Point"",""coordinates"":[66.88706638420479,68.18659922580568]}"
19,259.1297302246094,1223,"{""type"":""Point"",""coordinates"":[66.86668305827924,68.17422023411783]}"
20,261.76800537109375,1487,"{""type"":""Point"",""coordinates"":[66.86702578680813,68.17442850763155]}"
21,368.7124938964844,460,"{""type"":""Point"",""coordinates"":[66.87900128171124,68.18170310715533]}"
22,368.7124938964844,460,"{""type"":""Point"",""coordinates"":[66.8788665599828,68.18162129994003]}"
23,256.2261962890625,1044,"{""type"":""Point"",""coordinates"":[66.86612191626665,68.17387922270498]}"
24,220.16183471679688,1304,"{""type"":""Point"",""coordinates"":[66.86160668223332,68.17113483344635]}"
25,380.0552978515625,0,"{""type"":""Point"",""coordinates"":[66.88000686561232,68.1823137070288]}"
26,332.4622497558594,712,"{""type"":""Point"",""coordinates"":[66.87534949378117,68.17948538301273]}"
27,309.3923645019531,825,"{""type"":""Point"",""coordinates"":[66.87241987042013,68.17770585999062]}"
28,480.17535400390625,0,"{""type"":""Point"",""coordinates"":[66.88532826805144,68.18554426949025]}"
