"FIRST_zone","biomass_type","map_type","summary_type","predicted","lwr","upr","lwr_Tg","predicted_Tg","upr_Tg"
"High Arctic","Plant","spawn","mean",141.689345023032,NA,NA,NA,1.41689345023032e-10,NA
"High Arctic","Plant","spawn","sum",198763435300439,NA,NA,NA,198.763435300439,NA
"High Arctic","Belowground","spawn","mean",686.472451509486,NA,NA,NA,6.86472451509486e-10,NA
"High Arctic","Belowground","spawn","sum",962991413920074,NA,NA,NA,962.991413920073,NA
"High Arctic","Plant","spawnExtent","mean",115.189758010138,60.3088742171736,202.028534058066,6.03088742171736e-11,1.15189758010138e-10,2.02028534058066e-10
"High Arctic","Plant","spawnExtent","sum",167962943802600,87938860415400,294586149834000,87.9388604154,167.9629438026,294.586149834
"Low Arctic","Plant","spawn","mean",467.009079184217,NA,NA,NA,4.67009079184217e-10,NA
"Low Arctic","Plant","spawn","sum",1365094047805537,NA,NA,NA,1365.09404780554,NA
"Low Arctic","Belowground","spawn","mean",1635.17914055719,NA,NA,NA,1.63517914055719e-09,NA
"Low Arctic","Belowground","spawn","sum",4779721447320914,NA,NA,NA,4779.72144732091,NA
"Low Arctic","Plant","spawnExtent","mean",418.455156557742,254.873051257823,671.695895388514,2.54873051257823e-10,4.18455156557742e-10,6.71695895388514e-10
"Low Arctic","Plant","spawnExtent","sum",1296286674003000,789543478507500,2080773589545900,789.5434785075,1296.286674003,2080.7735895459
"Pan Arctic","Plant","spawn","mean",361.512974117716,NA,NA,NA,3.61512974117716e-10,NA
"Pan Arctic","Plant","spawn","sum",1563857483106012,NA,NA,NA,1563.85748310601,NA
"Pan Arctic","Belowground","spawn","mean",1327.52838951024,NA,NA,NA,1.32752838951024e-09,NA
"Pan Arctic","Belowground","spawn","sum",5742712861240914,NA,NA,NA,5742.71286124091,NA
"Pan Arctic","Plant","spawnExtent","mean",321.394058871088,192.602140416996,521.377297036544,1.92602140416996e-10,3.21394058871088e-10,5.21377297036544e-10
"Pan Arctic","Plant","spawnExtent","sum",1464249617805600,877482338922900,2375359739379900,877.4823389229,1464.2496178056,2375.3597393799
